BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,id
Junaid Khan,4,0,29,1,7.25,7,2,1.0,0.0,0.0,7
Anwar Ali,4,0,27,1,6.75,10,2,1.0,1.0,0.0,8
Mohammad Nabi,4,0,37,0,9.25,10,2,3.0,0.0,0.0,8
Zulfiqar Babar,4,0,31,1,7.75,10,4,1.0,0.0,0.0,8
Mohammad Nawaz,3,0,31,0,10.33,5,4,1.0,0.0,0.0,8
Umar Gul,4,0,50,1,12.50,6,3,4.0,1.0,1.0,8
Akbar-ur-Rehman,1,0,18,0,18.00,1,1,2.0,0.0,0.0,8
Dwayne Bravo,2,0,13,1,6.50,5,2,0.0,0.0,0.0,8
Zafar Gohar,3.2,0,14,4,4.20,10,0,0.0,2.0,0.0,8
Kevon Cooper,2,0,24,1,12.00,6,5,0.0,2.0,0.0,8
Zohaib Khan,4,0,32,1,8.00,8,0,2.0,1.0,0.0,8
Hammad Azam,2,0,25,0,12.50,2,3,1.0,0.0,0.0,8
Ajantha Mendis,3,0,17,3,5.66,8,2,0.0,0.0,0.0,8
Andre Russell,4,0,34,0,8.50,10,3,2.0,0.0,0.0,9
Shane Watson,2,0,24,0,12.00,1,2,1.0,1.0,0.0,9
Mohammad Sami,3,0,21,2,7.00,11,4,0.0,0.0,0.0,9
Rumman Raees,4,0,37,1,9.25,7,3,2.0,0.0,0.0,9
Imran Khalid,2,0,16,1,8.00,5,1,0.0,2.0,0.0,9
Saeed Ajmal,4,0,26,1,6.50,8,1,1.0,0.0,0.0,9
Kamran Ghulam,1,0,6,0,6.00,3,1,0.0,0.0,0.0,9
Dwayne Bravo,4,0,28,0,7.00,10,2,1.0,1.0,0.0,9
Ehsan Adil,3.5,0,41,2,10.69,12,2,4.0,3.0,0.0,9
Kevon Cooper,2,0,29,0,14.50,3,1,3.0,1.0,0.0,9
Zafar Gohar,2,0,15,0,7.50,7,0,2.0,0.0,0.0,9
Ajantha Mendis,2,0,23,0,11.50,2,2,1.0,0.0,0.0,9
Zohaib Khan,2,0,30,0,15.00,4,2,3.0,1.0,0.0,9
Mohammad Amir,4,0,24,1,6.00,12,2,1.0,0.0,0.0,10
Imad Wasim,2,0,28,0,14.00,3,4,1.0,1.0,0.0,10
Sohail Tanvir,4,0,38,1,9.50,7,3,2.0,1.0,1.0,10
Shakib Al Hasan,2,0,26,0,13.00,3,2,2.0,0.0,0.0,10
Usama Mir,4,0,31,0,7.75,5,2,1.0,0.0,0.0,10
Ravi Bopara,4,0,31,2,7.75,7,2,1.0,1.0,0.0,10
Aamer Yamin,4,0,33,0,8.25,11,5,1.0,1.0,0.0,10
Shaun Tait,4,0,45,1,11.25,9,7,1.0,1.0,1.0,10
Wahab Riaz,4,0,29,2,7.25,14,1,2.0,2.0,1.0,10
Mohammad Asghar,3,0,24,1,8.00,7,1,1.0,2.0,0.0,10
Shahid Afridi,4,0,36,1,9.00,8,2,2.0,1.0,0.0,10
Daren Sammy,1,0,9,1,9.00,3,0,1.0,0.0,0.0,10
Anwar Ali,2.1,0,10,1,4.61,10,2,0.0,1.0,0.0,11
Zulfiqar Babar,4,0,29,2,7.25,9,1,2.0,0.0,0.0,11
Aizaz Cheema,3,0,14,2,4.66,7,0,0.0,1.0,0.0,11
Mohammad Nawaz,4,0,29,1,7.25,12,0,3.0,0.0,0.0,11
Grant Elliott,4,0,25,3,6.25,8,1,1.0,1.0,0.0,11
Mohammad Nabi,2,0,10,1,5.00,6,1,0.0,0.0,0.0,11
Andre Russell,3,0,18,3,6.00,10,1,1.0,2.0,0.0,11
Mohammad Irfan,2,0,23,0,11.50,4,4,0.0,1.0,0.0,11
Shane Watson,1,0,7,0,7.00,2,1,0.0,0.0,0.0,11
Rumman Raees,3,0,19,0,6.33,5,1,0.0,1.0,1.0,11
Saeed Ajmal,4,0,24,0,6.00,7,2,0.0,0.0,0.0,11
Imran Khalid,3.1,0,26,0,8.21,6,3,0.0,1.0,0.0,11
Ehsan Adil,4,0,32,0,8.00,7,4,0.0,2.0,0.0,12
Dwayne Bravo,4,0,47,0,11.75,5,2,4.0,0.0,0.0,12
Kevon Cooper,4,0,28,1,7.00,8,1,1.0,1.0,0.0,12
Zohaib Khan,4,0,35,2,8.75,10,2,2.0,1.0,0.0,12
Zafar Gohar,3,0,26,2,8.66,7,0,2.0,1.0,0.0,12
Cameron Delport,1,0,9,0,9.00,1,0,0.0,1.0,1.0,12
Shoaib Malik,4,0,25,0,6.25,10,2,1.0,0.0,0.0,12
Sohail Khan,4,0,30,1,7.50,9,4,0.0,3.0,0.0,12
Sohail Tanvir,3,0,30,0,10.00,4,5,0.0,0.0,0.0,12
Usama Mir,4,0,33,1,8.25,6,2,1.0,2.0,0.0,12
Mir Hamza,1,0,17,0,17.00,0,0,2.0,1.0,0.0,12
Ravi Bopara,4,0,16,6,4.00,13,1,0.0,0.0,0.0,12
Shaun Tait,4,1,18,1,4.50,13,2,0.0,1.0,0.0,13
Junaid Khan,4,0,30,1,7.50,8,4,0.0,0.0,0.0,13
Mohammad Asghar,4,0,25,2,6.25,11,0,2.0,0.0,0.0,13
Wahab Riaz,4,0,24,2,6.00,15,2,1.0,1.0,0.0,13
Shahid Afridi,3,0,38,0,12.66,6,2,4.0,0.0,0.0,13
Daren Sammy,1,0,12,0,12.00,0,0,1.0,0.0,0.0,13
Andre Russell,2,0,20,0,10.00,6,3,1.0,0.0,0.0,13
Mohammad Sami,4,0,25,1,6.25,11,2,0.0,1.0,1.0,13
Rumman Raees,3.3,0,35,0,10.00,6,4,1.0,1.0,0.0,13
Saeed Ajmal,4,0,44,1,11.00,5,3,3.0,0.0,0.0,13
Samuel Badree,4,0,23,1,5.75,9,1,1.0,0.0,0.0,13
Shane Watson,1,0,5,0,5.00,3,0,0.0,0.0,0.0,13
Anwar Ali,2,0,15,1,7.50,6,3,0.0,0.0,0.0,14
Zulfiqar Babar,4,0,29,1,7.25,9,3,1.0,0.0,0.0,14
Aizaz Cheema,3,0,22,1,7.33,6,1,1.0,0.0,0.0,14
Mohammad Nawaz,4,0,24,0,6.00,4,1,0.0,1.0,0.0,14
Grant Elliott,4,0,15,4,3.75,10,0,0.0,0.0,0.0,14
Mohammad Nabi,3,0,17,1,5.66,9,1,1.0,0.0,0.0,14
Sohail Khan,4,0,28,0,7.00,9,3,0.0,1.0,0.0,14
Sohail Tanvir,1.5,0,11,0,6.00,4,1,0.0,0.0,0.0,14
Shakib Al Hasan,4,0,34,1,8.50,10,5,0.0,0.0,0.0,14
Imad Wasim,2,0,10,1,5.00,6,0,1.0,0.0,0.0,14
Usama Mir,4,0,27,2,6.75,9,1,1.0,0.0,0.0,14
Ravi Bopara,3,0,14,0,4.66,7,0,0.0,0.0,0.0,14
Junaid Khan,4,0,32,2,8.00,9,4,0.0,1.0,0.0,15
Shaun Tait,4,0,30,0,7.50,10,1,1.0,2.0,0.0,15
Wahab Riaz,4,0,39,0,9.75,6,6,0.0,0.0,0.0,15
Mohammad Asghar,3,0,27,0,9.00,4,1,2.0,0.0,0.0,15
Daren Sammy,3,0,20,1,6.66,4,2,0.0,0.0,0.0,15
Shahid Afridi,2,0,15,0,7.50,1,1,0.0,0.0,0.0,15
Ehsan Adil,4,0,36,0,9.00,9,1,3.0,1.0,0.0,15
Dwayne Bravo,4,0,28,0,7.00,9,3,0.0,2.0,0.0,15
Kevon Cooper,4,0,25,3,6.25,12,2,1.0,0.0,0.0,15
Adnan Rasool,2,0,30,0,15.00,2,4,1.0,2.0,0.0,15
Cameron Delport,4,0,18,3,4.50,9,1,0.0,0.0,0.0,15
Zohaib Khan,2,0,13,0,6.50,4,0,1.0,0.0,0.0,15
Samuel Badree,4,0,30,0,7.50,7,4,0.0,0.0,0.0,16
Imran Khalid,4,0,19,2,4.75,12,2,0.0,0.0,0.0,16
Rumman Raees,2,0,14,0,7.00,2,1,0.0,0.0,0.0,16
Mohammad Sami,2.4,0,12,1,4.50,10,0,1.0,0.0,0.0,16
Andre Russell,3.2,0,25,1,7.50,7,2,1.0,0.0,0.0,16
Azhar Mahmood,4,0,22,1,5.50,8,1,0.0,1.0,0.0,16
Mohammad Amir,4,1,21,1,5.25,17,3,1.0,0.0,0.0,16
Sohail Khan,4,0,23,2,5.75,15,2,1.0,1.0,0.0,16
Mir Hamza,1.5,0,23,0,12.54,4,0,3.0,0.0,0.0,16
Usama Mir,4,0,23,1,5.75,10,3,0.0,0.0,0.0,16
Shakib Al Hasan,2,0,14,0,7.00,6,1,1.0,0.0,0.0,16
Ravi Bopara,3,0,22,1,7.33,7,1,1.0,2.0,0.0,16
Shaun Tait,3,0,26,0,8.66,12,4,1.0,1.0,1.0,17
Junaid Khan,4,0,34,1,8.50,7,1,2.0,0.0,0.0,17
Wahab Riaz,3,0,19,2,6.33,9,0,1.0,3.0,0.0,17
Shahid Afridi,4,1,7,5,1.75,18,0,0.0,1.0,0.0,17
Mohammad Asghar,4,0,35,1,8.75,9,1,3.0,0.0,0.0,17
Umar Gul,4,0,13,0,3.25,18,0,0.0,3.0,0.0,17
Zulfiqar Babar,4,0,21,1,5.25,9,2,0.0,0.0,0.0,17
Mohammad Nawaz,3.4,0,38,1,10.36,7,6,1.0,0.0,0.0,17
Mohammad Nabi,3,0,29,0,9.66,2,2,1.0,0.0,0.0,17
Grant Elliott,4,0,22,0,5.50,5,1,0.0,0.0,0.0,17
Anwar Ali,4,0,57,0,14.25,6,3,6.0,0.0,0.0,18
Umar Gul,3,0,26,0,8.66,8,3,1.0,0.0,1.0,18
Zulfiqar Babar,4,0,49,1,12.25,5,4,3.0,1.0,0.0,18
Mohammad Nabi,3,0,34,0,11.33,6,4,2.0,0.0,0.0,18
Grant Elliott,4,0,26,1,6.50,9,3,0.0,2.0,0.0,18
Mohammad Nawaz,2,0,9,0,4.50,3,0,0.0,0.0,0.0,18
Ehsan Adil,4,0,39,4,9.75,11,8,0.0,1.0,0.0,18
Zafar Gohar,1,0,18,0,18.00,2,3,1.0,0.0,0.0,18
Kevon Cooper,4,0,37,1,9.25,8,5,0.0,0.0,1.0,18
Dwayne Bravo,4,0,30,3,7.50,5,2,1.0,0.0,0.0,18
Cameron Delport,3,0,37,0,12.33,1,4,0.0,1.0,0.0,18
Zohaib Khan,4,0,38,0,9.50,6,4,1.0,0.0,1.0,18
Aamer Yamin,3,0,21,1,7.00,10,3,0.0,1.0,2.0,19
Hasan Ali,4,0,27,1,6.75,10,2,1.0,0.0,0.0,19
Imran Khan,4,0,35,1,8.75,5,0,2.0,1.0,1.0,19
Shahid Afridi,4,0,27,1,6.75,11,2,1.0,1.0,0.0,19
Abdur Rehman,3,0,28,0,9.33,5,2,1.0,2.0,0.0,19
Daren Sammy,2,0,13,1,6.50,3,1,0.0,0.0,0.0,19
Mohammad Amir,4,0,29,1,7.25,12,3,1.0,1.0,0.0,19
Sohail Khan,2.3,0,14,0,5.60,6,0,1.0,0.0,0.0,19
Bilawal Bhatti,4,0,36,2,9.00,6,5,0.0,0.0,0.0,19
Shakib Al Hasan,3,0,13,0,4.33,8,1,0.0,0.0,0.0,19
Usama Mir,4,0,47,1,11.75,8,5,3.0,1.0,0.0,19
Ravi Bopara,1,0,16,0,16.00,1,0,2.0,1.0,0.0,19
Mohammad Irfan,4,0,22,3,5.50,14,1,1.0,2.0,0.0,20
Rumman Raees,4,0,31,1,7.75,13,2,2.0,3.0,0.0,20
Azhar Mahmood,3,0,35,0,11.66,7,3,2.0,0.0,0.0,20
Ashar Zaidi,4,0,22,0,5.50,5,1,0.0,0.0,0.0,20
Dwayne Smith,2,0,22,0,11.00,4,3,1.0,0.0,0.0,20
Saeed Ajmal,3,0,17,0,5.66,4,0,0.0,0.0,0.0,20
Ehsan Adil,4,0,22,1,5.50,11,2,0.0,0.0,0.0,20
Zia-ul-Haq,4,0,38,2,9.50,12,7,1.0,0.0,0.0,20
Dwayne Bravo,4,0,32,0,8.00,6,2,1.0,1.0,0.0,20
Ajantha Mendis,3,0,31,0,10.33,3,5,0.0,0.0,0.0,20
Cameron Delport,1,0,8,0,8.00,1,1,0.0,0.0,0.0,20
Azhar Ali,3,0,18,0,6.00,4,1,0.0,0.0,0.0,20
Hasan Ali,3,1,13,1,4.33,13,1,1.0,0.0,0.0,21
Mohammad Asghar,2,0,12,1,6.00,6,2,0.0,0.0,0.0,21
Wahab Riaz,3.3,0,17,3,4.85,13,1,1.0,0.0,0.0,21
Shaun Tait,4,0,23,2,5.75,15,4,0.0,1.0,0.0,21
Shahid Afridi,4,0,30,1,7.50,7,4,0.0,0.0,0.0,21
Daren Sammy,3,0,30,1,10.00,4,1,2.0,1.0,0.0,21
Anwar Ali,4,0,28,1,7.00,13,4,0.0,3.0,0.0,21
Zulfiqar Babar,4,0,20,0,5.00,14,3,0.0,0.0,0.0,21
Aizaz Cheema,4,0,34,2,8.50,11,5,0.0,1.0,2.0,21
Mohammad Nawaz,4,0,27,3,6.75,10,2,1.0,0.0,0.0,21
Grant Elliott,4,0,19,3,4.75,13,2,0.0,0.0,0.0,21
Mohammad Irfan,4,1,24,1,6.00,15,3,1.0,0.0,0.0,22
Mohammad Sami,4,0,8,5,2.00,16,0,0.0,0.0,0.0,22
Andre Russell,4,0,21,2,5.25,13,3,0.0,0.0,0.0,22
Samuel Badree,4,0,22,1,5.50,10,1,0.0,1.0,0.0,22
Imran Khalid,3,0,18,0,6.00,8,0,1.0,0.0,0.0,22
Dwayne Smith,1,0,7,0,7.00,1,0,0.0,0.0,0.0,22
Mohammad Amir,3,0,13,0,4.33,12,2,0.0,1.0,0.0,22
Sohail Khan,3.2,0,25,1,7.50,10,5,0.0,0.0,0.0,22
Imad Wasim,3,0,29,0,9.66,6,0,3.0,0.0,0.0,22
Usama Mir,2,0,20,0,10.00,3,2,1.0,0.0,0.0,22
Ravi Bopara,1,0,14,0,14.00,1,3,0.0,0.0,0.0,22
Mir Hamza,2,0,11,0,5.50,5,1,0.0,0.0,0.0,22
Hasan Ali,4,0,35,0,8.75,9,6,0.0,0.0,1.0,23
Shaun Tait,4,0,35,2,8.75,11,3,2.0,1.0,0.0,23
Mohammad Asghar,3,0,22,0,7.33,9,1,2.0,0.0,0.0,23
Shahid Afridi,4,0,34,0,8.50,8,2,2.0,0.0,0.0,23
Wahab Riaz,4,0,31,0,7.75,7,2,1.0,2.0,0.0,23
Daren Sammy,1,0,12,0,12.00,2,1,1.0,0.0,0.0,23
Mohammad Irfan,4,0,28,1,7.00,12,5,0.0,0.0,0.0,23
Samuel Badree,4,1,20,1,5.00,14,1,1.0,1.0,0.0,23
Mohammad Sami,3,0,15,1,5.00,11,1,1.0,0.0,0.0,23
Andre Russell,4,0,37,3,9.25,9,2,3.0,0.0,0.0,23
