BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,id
Mohammad Irfan,4,0,37,0,9.25,7,5,0.0,0.0,0.0,31
Mohammad Sami,4,0,28,2,7.00,9,2,1.0,1.0,0.0,31
Rumman Raees,4,0,29,1,7.25,8,2,1.0,1.0,0.0,31
Shadab Khan,4,0,19,0,4.75,5,0,0.0,0.0,0.0,31
Shane Watson,3,0,22,2,7.33,5,1,1.0,0.0,0.0,31
Zohaib Khan,1,0,13,0,13.00,1,1,1.0,0.0,0.0,31
Anwar Ali,4,0,27,0,6.75,13,3,1.0,2.0,0.0,31
Umar Gul,4,0,34,1,8.50,9,6,0.0,0.0,0.0,31
Thisara Perera,3.1,0,40,1,12.63,3,3,3.0,0.0,0.0,31
Mohammad Nawaz,4,0,18,2,4.50,16,3,0.0,0.0,0.0,31
Hassan Khan,4,0,24,1,6.00,8,1,1.0,0.0,0.0,31
Mohammad Amir,4,0,30,2,7.50,8,3,0.0,0.0,0.0,32
Imad Wasim,2,0,22,1,11.00,2,2,1.0,0.0,0.0,32
Sohail Khan,4,0,37,2,9.25,8,3,2.0,1.0,0.0,32
Usman Shinwari,4,0,35,0,8.75,8,2,1.0,3.0,0.0,32
Usama Mir,4,0,35,2,8.75,9,3,2.0,0.0,0.0,32
Ravi Bopara,2,0,19,0,9.50,0,2,0.0,0.0,0.0,32
Sohail Tanvir,4,0,30,2,7.50,11,1,2.0,3.0,0.0,32
Sunil Narine,4,0,31,2,7.75,7,3,0.0,1.0,0.0,32
Mohammad Irfan,4,0,35,2,8.75,8,5,0.0,0.0,1.0,32
Bilawal Bhatti,4,0,34,1,8.50,8,4,0.0,2.0,1.0,32
Yasir Shah,2,0,18,0,9.00,4,1,1.0,0.0,0.0,32
Grant Elliott,2,0,22,0,11.00,0,0,2.0,0.0,0.0,32
Zulfiqar Babar,4,0,37,0,9.25,9,2,2.0,1.0,0.0,33
Mohammad Nawaz,3,0,18,0,6.00,10,1,1.0,0.0,0.0,33
Anwar Ali,2,0,22,0,11.00,1,2,1.0,0.0,0.0,33
Mahmudullah,3,0,18,1,6.00,7,2,0.0,0.0,0.0,33
Hassan Khan,2,0,8,1,4.00,8,1,0.0,1.0,0.0,33
Rilee Rossouw,1,0,8,1,8.00,3,0,1.0,0.0,0.0,33
Thisara Perera,1,0,4,0,4.00,2,0,0.0,0.0,0.0,33
Imad Wasim,3,0,15,2,5.00,11,1,1.0,0.0,0.0,34
Mohammad Amir,3,0,28,0,9.33,7,1,2.0,4.0,0.0,34
Usman Shinwari,2,0,12,1,6.00,3,1,0.0,0.0,0.0,34
Kashif Bhatti,2,0,24,0,12.00,4,0,3.0,0.0,0.0,34
Usama Mir,3,0,10,2,3.33,12,1,0.0,0.0,0.0,34
Mohammad Irfan,3,0,7,2,2.33,12,0,0.0,0.0,0.0,34
Mohammad Sami,1,0,18,0,18.00,1,2,1.0,0.0,1.0,34
Imran Khalid,2,0,10,1,5.00,5,1,0.0,0.0,0.0,34
Shadab Khan,1,0,14,0,14.00,0,1,1.0,0.0,0.0,34
Saeed Ajmal,1.4,0,10,0,6.00,3,0,0.0,1.0,0.0,34
Shane Watson,1,0,9,0,9.00,2,1,0.0,0.0,0.0,34
Zulfiqar Babar,4,0,28,1,7.00,11,5,0.0,0.0,0.0,35
Anwar Ali,3,0,37,0,12.33,4,2,3.0,0.0,1.0,35
Thisara Perera,4,0,37,0,9.25,6,1,3.0,0.0,0.0,35
Mohammad Nawaz,3,0,44,0,14.66,3,4,3.0,0.0,0.0,35
Hassan Khan,4,0,28,2,7.00,10,1,2.0,0.0,0.0,35
Mahmudullah,2,0,23,0,11.50,2,2,1.0,0.0,0.0,35
Sohail Tanvir,3.5,0,47,2,12.26,4,5,2.0,1.0,0.0,35
Sunil Narine,4,0,38,0,9.50,7,0,4.0,0.0,0.0,35
Mohammad Irfan,4,0,48,2,12.00,4,2,4.0,0.0,1.0,35
Bilawal Bhatti,1.1,0,19,0,16.28,2,3,1.0,0.0,0.0,35
Yasir Shah,4,0,31,0,7.75,4,1,1.0,0.0,0.0,35
Cameron Delport,1.5,0,18,1,9.81,6,1,2.0,0.0,0.0,35
Mohammad Irfan,4,0,31,1,7.75,10,5,0.0,0.0,0.0,36
Mohammad Sami,4,0,26,3,6.50,12,1,2.0,1.0,0.0,36
Rumman Raees,4,0,19,2,4.75,14,3,0.0,0.0,0.0,36
Shadab Khan,4,0,26,2,6.50,12,1,1.0,2.0,0.0,36
Shane Watson,2,0,25,0,12.50,2,3,1.0,0.0,0.0,36
Amad Butt,2,0,9,1,4.50,7,1,0.0,1.0,0.0,36
Hasan Ali,4,0,17,1,4.25,12,0,1.0,0.0,0.0,36
Junaid Khan,4,0,49,1,12.25,8,3,4.0,2.0,1.0,36
Shakib Al Hasan,4,0,24,1,6.00,8,1,1.0,0.0,0.0,36
Wahab Riaz,4,0,21,1,5.25,14,3,0.0,1.0,1.0,36
Shahid Afridi,4,0,26,0,6.50,9,2,1.0,0.0,0.0,36
Hasan Ali,3,0,32,0,10.66,7,5,1.0,0.0,0.0,37
Wahab Riaz,4,0,32,0,8.00,11,3,2.0,0.0,0.0,37
Shakib Al Hasan,2,0,14,1,7.00,2,1,0.0,0.0,0.0,37
Imran Khan,4,0,42,1,10.50,4,2,3.0,0.0,0.0,37
Daren Sammy,1,0,16,0,16.00,0,3,0.0,0.0,0.0,37
Shahid Afridi,4,0,26,0,6.50,8,1,1.0,0.0,0.0,37
Iftikhar Ahmed,2,0,8,2,4.00,5,0,0.0,0.0,0.0,37
Imad Wasim,3,0,24,1,8.00,8,3,1.0,0.0,0.0,37
Mohammad Amir,4,0,41,0,10.25,7,3,3.0,0.0,0.0,37
Sohail Khan,4,1,28,3,7.00,14,1,3.0,0.0,0.0,37
Usama Mir,3.5,0,28,2,7.30,12,2,2.0,0.0,0.0,37
Shoaib Malik,1,0,6,1,6.00,3,1,0.0,0.0,0.0,37
Usman Shinwari,4,0,32,3,8.00,11,3,1.0,0.0,2.0,37
Sohail Tanvir,4,0,36,1,9.00,9,3,2.0,0.0,0.0,38
Aamer Yamin,4,0,17,3,4.25,15,0,1.0,0.0,0.0,38
Sunil Narine,4,0,20,1,5.00,10,2,0.0,0.0,0.0,38
Yasir Shah,4,0,27,2,6.75,9,0,2.0,1.0,0.0,38
Mohammad Irfan,3,0,27,0,9.00,8,2,2.0,0.0,0.0,38
Grant Elliott,1,0,12,0,12.00,2,0,1.0,1.0,0.0,38
Mohammad Irfan,4,0,22,1,5.50,12,3,0.0,0.0,0.0,38
Mohammad Sami,3.2,0,26,1,7.80,13,2,1.0,0.0,1.0,38
Rumman Raees,4,0,26,3,6.50,10,2,1.0,0.0,0.0,38
Shadab Khan,4,0,28,2,7.00,12,2,2.0,0.0,0.0,38
Shane Watson,3,0,25,1,8.33,8,3,1.0,0.0,0.0,38
Amad Butt,1,0,15,0,15.00,2,2,1.0,0.0,0.0,38
Mir Hamza,4,0,48,1,12.00,10,4,4.0,2.0,0.0,39
Tymal Mills,4,0,28,0,7.00,10,3,0.0,4.0,0.0,39
Anwar Ali,4,0,30,2,7.50,7,1,1.0,1.0,0.0,39
Mohammad Nawaz,1,0,11,0,11.00,3,1,1.0,0.0,0.0,39
Hassan Khan,3,0,16,0,5.33,10,0,0.0,3.0,0.0,39
Mahmudullah,4,0,21,3,5.25,10,2,0.0,0.0,0.0,39
Imad Wasim,3,0,18,0,6.00,5,0,1.0,0.0,0.0,39
Mohammad Amir,4,1,27,0,6.75,12,4,0.0,0.0,1.0,39
Usman Shinwari,4,0,33,0,8.25,5,4,0.0,0.0,0.0,39
Sohail Khan,3,0,28,2,9.33,7,3,1.0,1.0,0.0,39
Usama Mir,4,0,39,1,9.75,5,3,2.0,0.0,0.0,39
Shoaib Malik,1,0,5,0,5.00,4,0,0.0,1.0,0.0,39
Sohail Tanvir,4,0,39,1,9.75,8,4,1.0,0.0,0.0,40
Aamer Yamin,4,0,28,1,7.00,9,3,0.0,2.0,0.0,40
Sunil Narine,4,0,28,1,7.00,9,2,0.0,1.0,0.0,40
Ghulam Mudassar,2,0,23,0,11.50,3,3,1.0,0.0,0.0,40
Yasir Shah,4,0,19,2,4.75,12,1,0.0,0.0,0.0,40
Grant Elliott,2,0,20,0,10.00,2,3,0.0,0.0,0.0,40
Hasan Ali,4,0,32,1,8.00,10,4,1.0,0.0,0.0,40
Mohammad Asghar,1,0,22,0,22.00,0,5,0.0,0.0,0.0,40
Mohammad Hafeez,3,0,25,2,8.33,9,2,2.0,0.0,0.0,40
Shakib Al Hasan,2,1,14,2,7.00,7,1,1.0,1.0,0.0,40
Wahab Riaz,4,0,24,1,6.00,15,3,1.0,0.0,0.0,40
Shahid Afridi,4,0,21,1,5.25,11,1,1.0,0.0,0.0,40
Daren Sammy,2,0,11,1,5.50,4,1,0.0,0.0,0.0,40
Zulfiqar Babar,4,0,17,2,4.25,11,1,0.0,0.0,0.0,41
Mahmudullah,2,0,18,0,9.00,6,2,1.0,0.0,0.0,41
Mohammad Nawaz,4,0,29,0,7.25,9,0,2.0,0.0,0.0,41
Anwar Ali,4,0,51,2,12.75,6,5,3.0,0.0,0.0,41
Hassan Khan,4,0,35,1,8.75,9,3,1.0,1.0,0.0,41
Thisara Perera,2,0,13,1,6.50,3,1,0.0,0.0,0.0,41
Mohammad Irfan,4,0,23,1,5.75,9,2,0.0,1.0,0.0,41
Samuel Badree,3,0,34,0,11.33,6,5,1.0,0.0,0.0,41
Rumman Raees,4,0,26,1,6.50,9,0,2.0,1.0,0.0,41
Shadab Khan,4,0,28,1,7.00,7,1,1.0,0.0,0.0,41
Mohammad Sami,4,0,33,1,8.25,9,4,0.0,2.0,0.0,41
Shane Watson,1,0,10,0,10.00,0,1,0.0,0.0,0.0,41
Mohammad Amir,4,0,30,1,7.50,8,3,0.0,1.0,0.0,42
Imad Wasim,2,0,12,0,6.00,6,0,1.0,0.0,0.0,42
Sohail Khan,3,0,28,1,9.33,7,3,1.0,2.0,0.0,42
Usman Shinwari,3,0,24,0,8.00,5,3,0.0,0.0,0.0,42
Usama Mir,4,0,38,2,9.50,7,2,3.0,0.0,0.0,42
Shoaib Malik,4,0,21,2,5.25,8,0,0.0,1.0,0.0,42
Sohail Tanvir,4,0,40,0,10.00,7,2,2.0,1.0,0.0,42
Aamer Yamin,4,0,39,0,9.75,7,3,2.0,0.0,0.0,42
Sunil Narine,4,0,19,1,4.75,13,1,0.0,3.0,0.0,42
Mohammad Irfan,1,0,8,0,8.00,1,1,0.0,0.0,0.0,42
Yasir Shah,4,0,20,0,5.00,11,2,0.0,0.0,0.0,42
Grant Elliott,1,0,14,0,14.00,1,3,0.0,0.0,0.0,42
Fakhar Zaman,1,0,3,1,3.00,3,0,0.0,0.0,0.0,42
Brendon McCullum,1,0,13,0,13.00,2,1,1.0,1.0,0.0,42
Hasan Ali,4,0,22,2,5.50,12,2,0.0,0.0,0.0,43
Mohammad Asghar,4,0,33,3,8.25,10,3,1.0,0.0,0.0,43
Shakib Al Hasan,4,1,25,1,6.25,12,2,1.0,1.0,0.0,43
Wahab Riaz,4,0,17,2,4.25,11,0,0.0,2.0,0.0,43
Shahid Afridi,4,1,22,0,5.50,12,1,1.0,0.0,0.0,43
Zulfiqar Babar,4,1,23,0,5.75,15,0,1.0,5.0,0.0,43
Hassan Khan,4,0,23,0,5.75,11,1,0.0,1.0,0.0,43
Mahmudullah,3.2,0,31,3,9.30,8,3,2.0,0.0,0.0,43
Tymal Mills,4,0,20,3,5.00,15,2,0.0,4.0,0.0,43
Mohammad Nawaz,4,0,32,1,8.00,12,3,2.0,0.0,0.0,43
Imad Wasim,3,0,20,0,6.66,8,3,0.0,0.0,0.0,44
Mohammad Amir,3,0,25,2,8.33,6,2,1.0,0.0,0.0,44
Sohail Khan,3,0,23,2,7.66,8,4,0.0,0.0,0.0,44
Usman Shinwari,3,0,25,2,8.33,6,1,1.0,0.0,1.0,44
Usama Mir,3,0,28,0,9.33,4,0,2.0,1.0,0.0,44
Mohammad Irfan,3,0,35,0,11.66,8,4,2.0,2.0,0.0,44
Mohammad Sami,3,0,25,0,8.33,7,4,0.0,1.0,0.0,44
Rumman Raees,2.5,0,18,0,6.35,6,1,0.0,1.0,0.0,44
Saeed Ajmal,2,0,29,1,14.50,4,2,3.0,0.0,0.0,44
Shadab Khan,3,0,13,3,4.33,11,1,0.0,1.0,0.0,44
Shane Watson,1,0,5,0,5.00,2,0,0.0,0.0,0.0,44
Hasan Ali,4,0,41,1,10.25,6,5,1.0,0.0,0.0,45
Mohammad Asghar,3,0,28,0,9.33,6,2,2.0,0.0,0.0,45
Chris Jordan,4,0,30,0,7.50,4,1,0.0,1.0,0.0,45
Wahab Riaz,4,0,40,3,10.00,7,4,1.0,2.0,1.0,45
Shahid Afridi,2,0,20,0,10.00,5,1,2.0,0.0,0.0,45
Daren Sammy,1,0,18,1,18.00,1,1,2.0,0.0,0.0,45
Mohammad Hafeez,2,0,16,0,8.00,1,1,0.0,0.0,0.0,45
Anwar Ali,4,0,25,1,6.25,13,1,2.0,0.0,0.0,45
Zulfiqar Babar,4,0,28,1,7.00,6,1,1.0,0.0,0.0,45
Hassan Khan,3,0,36,0,12.00,7,3,3.0,0.0,0.0,45
Tymal Mills,4,0,45,1,11.25,6,5,1.0,6.0,0.0,45
Mohammad Nawaz,4,0,51,3,12.75,7,4,4.0,2.0,0.0,45
Saad Nasim,1,0,9,0,9.00,3,2,0.0,0.0,0.0,45
Mohammad Irfan,4,1,28,0,7.00,12,4,0.0,1.0,0.0,46
Mohammad Sami,3.4,1,19,2,5.18,12,3,0.0,0.0,0.0,46
Rumman Raees,4,0,25,4,6.25,13,1,2.0,1.0,0.0,46
Shadab Khan,4,0,23,1,5.75,11,3,0.0,0.0,0.0,46
Shane Watson,4,0,29,2,7.25,6,3,0.0,2.0,0.0,46
Mohammad Amir,2.2,0,7,3,3.00,11,1,0.0,0.0,0.0,46
Usman Shinwari,2,0,11,0,5.50,5,1,0.0,0.0,0.0,46
Sohail Khan,3,0,21,1,7.00,10,2,1.0,1.0,0.0,46
Imad Wasim,4,0,18,3,4.50,11,1,0.0,1.0,0.0,46
Usama Mir,4,0,24,3,6.00,8,2,0.0,2.0,0.0,46
Mohammad Amir,4,0,31,1,7.75,6,4,0.0,0.0,0.0,47
Imad Wasim,3,0,22,0,7.33,7,2,1.0,0.0,0.0,47
Sohail Khan,4,0,32,1,8.00,10,3,1.0,1.0,0.0,47
Usman Shinwari,4,0,26,0,6.50,8,1,1.0,0.0,0.0,47
Usama Mir,2,0,26,0,13.00,2,0,3.0,0.0,0.0,47
Ravi Bopara,3,0,41,0,13.66,2,3,3.0,0.0,0.0,47
Hasan Ali,4,0,21,0,5.25,11,0,1.0,1.0,0.0,47
Chris Jordan,4,0,26,3,6.50,12,2,1.0,3.0,0.0,47
Mohammad Hafeez,3,0,16,1,5.33,10,1,1.0,0.0,0.0,47
Wahab Riaz,4,0,24,3,6.00,12,4,0.0,0.0,0.0,47
Shahid Afridi,2,0,27,0,13.50,4,1,3.0,0.0,0.0,47
Daren Sammy,2,0,21,0,10.50,2,1,1.0,3.0,0.0,47
Mohammad Asghar,1,0,18,0,18.00,0,0,2.0,1.0,0.0,47
Zulfiqar Babar,4,0,21,0,5.25,12,3,0.0,0.0,0.0,48
Anwar Ali,4,0,43,0,10.75,7,2,3.0,3.0,0.0,48
Rayad Emrit,4,0,30,3,7.50,12,4,1.0,0.0,0.0,48
Mohammad Nawaz,4,0,15,1,3.75,13,1,0.0,1.0,0.0,48
Hassan Khan,4,0,34,2,8.50,10,3,2.0,1.0,0.0,48
Hasan Ali,3.3,0,13,2,3.71,12,1,0.0,0.0,0.0,48
Mohammad Asghar,4,0,16,3,4.00,14,2,0.0,0.0,0.0,48
Mohammad Hafeez,2,0,21,1,10.50,1,3,0.0,0.0,0.0,48
Chris Jordan,3,0,16,1,5.33,5,1,0.0,0.0,0.0,48
Wahab Riaz,3,0,13,2,4.33,10,1,0.0,1.0,0.0,48
Daren Sammy,1,0,8,0,8.00,1,1,0.0,0.0,0.0,48
Sohail Tanvir,4,0,36,1,9.00,11,4,2,1,0,49
Mohammad Irfan,4,0,19,2,4.75,15,2,0,3,0,49
Junaid Khan,4,0,30,1,7.50,12,4,1,0,0,49
Imran Tahir,4,0,37,1,9.25,8,1,3,0,0,49
Hardus Viljoen,4,0,24,1,6.00,8,2,0,1,0,49
Chris Jordan,4,0,31,0,7.75,10,4,0,1,0,49
Wahab Riaz,4,0,19,2,4.75,15,2,0,1,1,49
Mohammad Asghar,4,0,18,1,4.50,9,1,0,0,0,49
Hammad Azam,3.1,0,33,0,10.42,7,3,2,0,0,49
Ibtisam Sheikh,3,0,31,0,10.33,2,1,2,0,0,49
Daren Sammy,1,0,12,0,12.00,2,1,1,0,0,49
Anwar Ali,4,0,32,2,8.00,9,3,1,0,0,50
Jofra Archer,4,0,30,2,7.50,8,4,0,0,1,50
Shane Watson,4,0,22,3,5.50,13,3,0,0,0,50
Mohammad Nawaz,1,0,5,0,5.00,1,0,0,0,0,50
Hassan Khan,3,0,17,0,5.66,5,1,0,0,0,50
Rahat Ali,4,0,36,1,9.00,5,3,1,1,0,50
Imad Wasim,4,0,19,2,4.75,10,1,0,0,0,50
Mohammad Amir,4,0,20,1,5.00,14,3,0,0,0,50
Tymal Mills,4,0,27,2,6.75,13,2,1,0,0,50
Mohammad Irfan,4,0,36,2,9.00,8,4,1,0,0,50
Shahid Afridi,4,0,23,1,5.75,11,2,0,1,0,50
Raza Hasan,3,0,28,0,9.33,4,2,1,0,0,51
Aamer Yamin,2,0,26,0,13.00,4,4,1,0,0,51
Shaheen Shah Afridi,3,0,35,0,11.66,3,2,1,2,0,51
Sunil Narine,4,0,32,0,8.00,10,2,2,1,0,51
Mustafizur Rahman,4,0,22,2,5.50,14,2,1,0,0,51
Yasir Shah,4,0,27,1,6.75,7,1,1,0,0,51
Sohail Tanvir,3,0,26,0,8.66,6,1,1,2,0,51
Mohammad Irfan,4,0,19,2,4.75,13,2,0,0,0,51
Junaid Khan,3,0,24,3,8.00,9,1,2,0,0,51
Shoaib Malik,1,0,11,0,11.00,1,0,1,0,0,51
Imran Tahir,3.2,0,27,3,8.10,8,1,2,1,0,51
Kieron Pollard,3,0,28,2,9.33,7,3,1,1,0,51
Mohammad Sami,3,0,20,1,6.66,9,3,0,0,0,52
Rumman Raees,4,0,26,1,6.50,10,3,0,2,0,52
Andre Russell,3,0,37,1,12.33,6,4,2,1,0,52
Faheem Ashraf,4,0,37,2,9.25,8,5,1,0,0,52
Shadab Khan,4,0,34,0,8.50,3,1,2,0,0,52
Samit Patel,2,0,21,1,10.50,3,0,2,0,0,52
Mohammad Asghar,3,0,26,0,8.66,6,1,2,0,0,52
Umaid Asif,4,0,23,4,5.75,10,2,0,1,0,52
Wahab Riaz,4,0,21,1,5.25,13,3,0,1,0,52
Chris Jordan,4,0,33,1,8.25,9,6,0,0,0,52
Ibtisam Sheikh,4,0,20,3,5.00,7,1,0,0,0,52
Daren Sammy,1,0,19,0,19.00,0,2,1,1,0,52
Jofra Archer,4,0,23,3,5.75,15,3,1,0,0,53
Rahat Ali,4,0,26,1,6.50,11,2,1,0,0,53
Shane Watson,4,0,35,1,8.75,15,3,3,1,0,53
Mohammad Nawaz,4,1,4,2,1.00,20,0,0,0,0,53
Hassan Khan,4,0,28,1,7.00,6,0,2,0,0,53
Raza Hasan,2,0,19,0,9.50,7,1,2,0,0,53
Shaheen Shah Afridi,2,0,12,0,6.00,6,1,0,1,1,53
Yasir Shah,4,0,38,0,9.50,10,1,4,0,0,53
Sunil Narine,4,0,40,1,10.00,8,4,2,0,0,53
Mustafizur Rahman,2,0,10,0,5.00,6,1,0,0,0,53
Rumman Raees,3.5,0,14,3,3.65,12,1,0,0,0,54
Mohammad Sami,4,0,19,2,4.75,12,2,0,0,0,54
Steven Finn,4,0,14,1,3.50,12,0,0,0,0,54
Faheem Ashraf,3,0,17,0,5.66,6,1,0,1,0,54
Shadab Khan,2,0,17,0,8.50,6,0,2,0,0,54
Andre Russell,3,0,30,2,10.00,4,3,1,0,0,54
Mohammad Irfan,4,0,24,1,6.00,11,3,0,0,0,54
Sohail Tanvir,3,0,28,0,9.33,10,3,2,0,0,54
Imran Tahir,4,1,19,3,4.75,14,3,0,0,0,54
Junaid Khan,3.4,0,20,1,5.45,13,3,0,0,0,54
Shoaib Malik,3,0,22,0,7.33,9,0,1,1,1,54
Imad Wasim,4,0,21,0,5.25,14,2,1,0,0,55
Mohammad Amir,2,0,6,2,3.00,9,1,0,0,0,55
Tymal Mills,4,0,28,1,7.00,14,2,1,2,1,55
Shahid Afridi,4,0,22,2,5.50,15,1,2,0,0,55
Mohammad Irfan,4,0,27,1,6.75,8,1,1,3,0,55
Ravi Bopara,2,0,27,0,13.50,3,2,2,1,0,55
Umaid Asif,4,0,20,0,5.00,15,3,0,2,0,55
Chris Jordan,4,0,29,2,7.25,11,3,1,0,0,55
Mohammad Asghar,3.4,0,30,1,8.18,7,1,2,0,0,55
Wahab Riaz,4,0,29,0,7.25,7,3,0,3,0,55
Ibtisam Sheikh,4,0,25,2,6.25,10,2,1,0,0,55
Sohail Khan,4,0,45,2,11.25,10,5,3,1,0,56
Shaheen Shah Afridi,3,0,39,0,13.00,6,1,4,1,0,56
Yasir Shah,4,0,25,2,6.25,8,2,0,0,0,56
Mustafizur Rahman,4,1,22,1,5.50,13,2,0,3,0,56
Sunil Narine,4,0,18,2,4.50,13,1,0,0,0,56
Agha Salman,1,0,8,0,8.00,1,1,0,0,0,56
Usman Shinwari,4,0,26,3,6.50,12,1,2,0,1,56
Tymal Mills,3.3,0,33,2,9.42,11,3,1,2,3,56
Imad Wasim,4,0,25,1,6.25,8,2,0,1,0,56
Mohammad Irfan,2,0,17,1,8.50,5,3,0,0,1,56
Shahid Afridi,4,0,19,3,4.75,12,2,0,0,0,56
Colin Ingram,1,0,8,0,8.00,1,1,0,0,0,56
Anwar Ali,2,0,13,1,6.50,5,2,0,0,0,57
Mohammad Nawaz,4,0,20,0,5.00,9,0,0,1,0,57
Rahat Ali,4,0,18,1,4.50,14,2,0,2,0,57
John Hastings,4,0,36,1,9.00,8,4,1,1,0,57
Hassan Khan,2,0,12,1,6.00,5,0,1,0,0,57
Shane Watson,4,0,35,1,8.75,8,1,2,4,0,57
Rumman Raees,2,0,11,0,5.50,8,2,0,0,1,57
Mohammad Sami,4,0,22,1,5.50,10,2,0,1,0,57
Steven Finn,4,0,35,3,8.75,11,4,2,0,0,57
Faheem Ashraf,3,0,30,0,10.00,5,2,2,1,0,57
Shadab Khan,3.1,0,24,0,7.57,10,1,2,1,0,57
Hussain Talat,1,0,6,0,6.00,3,0,0,3,0,57
Sameen Gul,4,0,20,1,5.00,11,2,0,0,0,58
Umaid Asif,4,0,18,2,4.50,14,1,1,0,0,58
Mohammad Asghar,2,0,35,0,17.50,2,1,4,0,0,58
Wahab Riaz,4,0,16,2,4.00,11,1,0,0,0,58
Daren Sammy,2.4,0,21,2,7.87,3,1,0,0,1,58
Khalid Usman,3,0,27,1,9.00,5,1,2,1,0,58
Dwayne Smith,0.2,0,3,0,9.00,0,0,0,0,0,58
Anwar Ali,3.4,0,37,0,10.09,10,4,2,3,0,58
Shane Watson,4,0,16,1,4.00,13,1,0,1,0,58
Rahat Ali,4,0,35,1,8.75,9,5,1,0,0,58
John Hastings,4,0,25,1,6.25,14,3,1,0,0,58
Mohammad Nawaz,3,0,17,1,5.66,7,0,0,1,0,58
Hassan Khan,1,0,11,0,11.00,0,0,1,0,0,58
Fakhar Zaman,2,0,10,1,5.00,5,1,0,0,0,60
Sohail Khan,4,0,23,2,5.75,14,1,1,3,0,60
Sunil Narine,4,0,10,0,2.50,15,0,0,0,0,60
Mustafizur Rahman,4,0,39,1,9.75,4,2,2,0,0,60
Yasir Shah,4,0,20,3,5.00,12,1,1,0,0,60
Salman Irshad,2,0,19,1,9.50,3,3,0,0,0,60
Samit Patel,4,0,17,3,4.25,15,2,0,0,0,60
Jean-Paul Duminy,3,0,17,0,5.66,9,1,0,2,0,60
Mohammad Sami,3.4,0,21,3,5.72,15,3,1,0,0,60
Shadab Khan,4,0,29,1,7.25,12,2,2,0,0,60
Andre Russell,4,0,22,1,5.50,12,3,0,0,0,60
Faheem Ashraf,1,0,10,1,10.00,1,0,1,0,0,60
Mohammad Irfan,4,0,27,1,6.75,12,3,0,1,0,61
Sohail Tanvir,3,0,14,3,4.66,12,0,1,1,1,61
Junaid Khan,2,0,9,2,4.50,6,1,0,0,0,61
Imran Tahir,2.4,0,19,3,7.12,6,1,0,2,0,61
Shoaib Malik,2,0,19,1,9.50,6,1,2,0,0,61
Kieron Pollard,2,0,12,0,6.00,2,0,0,1,0,61
Rahat Ali,3,0,24,0,8.00,9,4,0,2,0,61
Shane Watson,1,0,6,0,6.00,4,1,0,1,0,61
Mohammad Nawaz,4,0,17,0,4.25,11,1,0,0,0,61
John Hastings,2,0,16,0,8.00,3,2,0,0,0,61
Hassan Khan,3,0,25,1,8.33,5,2,1,0,0,61
Anwar Ali,2,0,8,0,4.00,4,0,0,0,0,61
Mahmudullah,1,0,6,0,6.00,0,0,0,0,0,61
Sarfaraz Ahmed,0.4,0,6,0,9.00,3,0,1,0,0,61
Sameen Gul,4,0,23,1,5.75,13,2,1,0,0,62
Umaid Asif,3,0,20,0,6.66,12,1,2,1,0,62
Hasan Ali,3.2,0,22,3,6.60,10,1,1,2,1,62
Wahab Riaz,3,0,14,2,4.66,12,2,0,1,0,62
Liam Dawson,4,0,20,3,5.00,13,1,1,1,0,62
Fakhar Zaman,1.0,0,1,0,1.0,5,0,0,0,0,62
Sohail Khan,3.4,0,37,0,10.09,11,3,2,2,0,62
Sunil Narine,2.0,0,16,0,8.0,5,3,0,0,0,62
Salman Irshad,2.0,0,23,0,11.5,3,4,0,2,0,62
Mustafizur Rahman,2.0,0,10,0,5.0,3,0,0,0,0,62
Yasir Shah,3.0,0,15,0,5.0,6,1,0,0,0,62
Samit Patel,4,0,32,0,8.00,8,3,1,0,0,63
Mohammad Sami,4,0,38,1,9.50,8,5,1,1,0,63
Faheem Ashraf,4,0,23,3,5.75,10,3,0,0,0,63
Shadab Khan,4,0,25,0,6.25,10,1,1,0,0,63
Hussain Talat,4,0,34,1,8.50,4,3,1,0,0,63
Imad Wasim,3.2,0,23,0,6.90,8,2,1,0,0,63
Mohammad Amir,3,0,31,1,10.33,4,4,1,0,0,63
Usman Shinwari,3,0,30,0,10.00,8,3,2,0,0,63
Tymal Mills,4,0,39,0,9.75,4,6,0,1,0,63
Ravi Bopara,1,0,11,0,11.00,2,2,0,1,0,63
Mohammad Irfan,3,0,16,1,5.33,8,2,0,0,0,63
Sameen Gul,4,0,42,0,10.50,7,2,3,0,0,64
Umaid Asif,4,0,39,1,9.75,8,2,3,0,0,64
Hasan Ali,4,0,43,0,10.75,6,4,2,1,0,64
Wahab Riaz,4,0,41,0,10.25,7,2,3,1,1,64
Liam Dawson,4,1,17,1,4.25,12,1,0,0,0,64
Sohail Tanvir,4,0,14,3,3.50,16,1,0,0,0,64
Mohammad Irfan,4,0,32,2,8.00,8,2,2,0,0,64
Junaid Khan,4,0,45,0,11.25,4,4,2,0,0,64
Imran Tahir,4,0,31,0,7.75,6,4,0,0,0,64
Kieron Pollard,4,0,37,3,9.25,8,1,3,2,0,64
Mohammad Nawaz,3,0,18,1,6.00,10,0,2,0,0,65
Anwar Ali,3,0,24,1,8.00,7,1,1,2,0,65
Rahat Ali,4,0,24,1,6.00,13,1,1,3,0,65
Ben Laughlin,4,0,37,1,9.25,9,2,3,0,0,65
Shane Watson,4,0,37,1,9.25,6,4,0,1,0,65
