,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,id
106,Qalandars,Zalmi,Zalmi,4 wickets,Abu Dhabi,"Mar 5, 2019",Twenty20,107
107,United,Gladiators,Gladiators,43 runs,Abu Dhabi,"Mar 5, 2019",Twenty20,108
108,Qalandars,United,United,49 runs,Karachi,"Mar 9, 2019",Twenty20,109
109,Kings,Gladiators,Kings,1 run,Karachi,"Mar 10, 2019",Twenty20,110
110,Qalandars,Sultans,Sultans,7 wickets,Karachi,"Mar 11, 2019",Twenty20,111
111,Kings,Zalmi,Zalmi,61 runs,Karachi,"Mar 11, 2019",Twenty20,112
112,Zalmi,Gladiators,Gladiators,10 runs,Karachi,"Mar 13, 2019",Twenty20,113
113,United,Kings,United,4 wickets,Karachi,"Mar 14, 2019",Twenty20,114
114,United,Zalmi,Zalmi,48 runs,Karachi,"Mar 15, 2019",Twenty20,115
115,Gladiators,Zalmi,Gladiators,8 wickets,Karachi,"Mar 17, 2019",Twenty20,116
116,United,Gladiators,Gladiators,3 wickets,Karachi,"Feb 20, 2020",Twenty20,117
117,Kings,Zalmi,Kings,10 runs,Karachi,"Feb 21, 2020",Twenty20,118
118,Qalandars,Sultans,Sultans,5 wickets,Lahore,"Feb 21, 2020",Twenty20,119
119,Zalmi,Gladiators,Zalmi,6 wickets,Karachi,"Feb 22, 2020",Twenty20,120
120,United,Sultans,United,8 wickets,Lahore,"Feb 22, 2020",Twenty20,121
121,Kings,Gladiators,Gladiators,5 wickets,Karachi,"Feb 23, 2020",Twenty20,122
122,Qalandars,United,United,1 wicket,Lahore,"Feb 23, 2020",Twenty20,123
123,Sultans,Zalmi,Sultans,6 wickets,Multan,"Feb 26, 2020",Twenty20,124
124,United,Gladiators,Gladiators,5 wickets,Rawalpindi,"Feb 27, 2020",Twenty20,125
125,Sultans,Kings,Sultans,52 runs,Multan,"Feb 28, 2020",Twenty20,126
126,Qalandars,Zalmi,Zalmi,16 runs,Rawalpindi,"Feb 28, 2020",Twenty20,127
127,Sultans,Gladiators,Sultans,30 runs,Multan,"Feb 29, 2020",Twenty20,128
128,United,Kings,Kings,5 wickets,Rawalpindi,"Mar 1, 2020",Twenty20,129
129,Kings,Zalmi,Kings,6 wickets,Rawalpindi,"Mar 2, 2020",Twenty20,130
130,Qalandars,Gladiators,Qalandars,37 runs,Lahore,"Mar 3, 2020",Twenty20,131
131,Qalandars,United,United,71 runs,Lahore,"Mar 4, 2020",Twenty20,132
132,Zalmi,Gladiators,Zalmi,30 runs,Rawalpindi,"Mar 5, 2020",Twenty20,133
133,Kings,Sultans,no result,-,Lahore,"Mar 6, 2020",Twenty20,134
134,United,Zalmi,Zalmi,7 runs,Rawalpindi,"Mar 7, 2020",Twenty20,135
135,Qalandars,Gladiators,Qalandars,8 wickets,Lahore,"Mar 7, 2020",Twenty20,136
136,United,Sultans,Sultans,9 wickets,Rawalpindi,"Mar 8, 2020",Twenty20,137
137,Qalandars,Kings,Qalandars,8 wickets,Lahore,"Mar 8, 2020",Twenty20,138
138,Qalandars,Zalmi,Qalandars,5 wickets,Lahore,"Mar 10, 2020",Twenty20,139
139,Kings,Qalandars,Kings,10 wickets,Karachi,"Mar 12, 2020",Twenty20,140
140,Sultans,Zalmi,Sultans,3 runs,Karachi,"Mar 13, 2020",Twenty20,141
141,Kings,United,Kings,4 wickets,Karachi,"Mar 14, 2020",Twenty20,142
142,Qalandars,Sultans,Qalandars,9 wickets,Lahore,"Mar 15, 2020",Twenty20,143
143,Kings,Gladiators,Gladiators,5 wickets,Karachi,"Mar 15, 2020",Twenty20,144
144,Sultans,Kings,tied,-,Karachi,"Nov 14, 2020",Twenty20,145
145,Qalandars,Zalmi,Qalandars,5 wickets,Karachi,"Nov 14, 2020",Twenty20,146
146,Qalandars,Sultans,Qalandars,25 runs,Karachi,"Nov 15, 2020",Twenty20,147
147,Kings,Qalandars,Kings,5 wickets,Karachi,"Nov 17, 2020",Twenty20,148
148,Kings,Gladiators,Kings,7 wickets,Karachi,"Feb 20, 2021",Twenty20,149
149,Qalandars,Zalmi,Qalandars,4 wickets,Karachi,"Feb 21, 2021",Twenty20,150
150,United,Sultans,United,3 wickets,Karachi,"Feb 21, 2021",Twenty20,151
151,Qalandars,Gladiators,Qalandars,9 wickets,Karachi,"Feb 22, 2021",Twenty20,152
152,Sultans,Zalmi,Zalmi,6 wickets,Karachi,"Feb 23, 2021",Twenty20,153
153,Kings,United,United,5 wickets,Karachi,"Feb 24, 2021",Twenty20,154
154,Qalandars,Sultans,Sultans,7 wickets,Karachi,"Feb 26, 2021",Twenty20,155
155,Zalmi,Gladiators,Zalmi,3 wickets,Karachi,"Feb 26, 2021",Twenty20,156
156,Kings,Sultans,Kings,7 wickets,Karachi,"Feb 27, 2021",Twenty20,157
157,United,Zalmi,Zalmi,6 wickets,Karachi,"Feb 27, 2021",Twenty20,158
158,Kings,Qalandars,Qalandars,6 wickets,Karachi,"Feb 28, 2021",Twenty20,159
159,United,Gladiators,United,6 wickets,Karachi,"Mar 1-2, 2021",Twenty20,160
160,Kings,Zalmi,Kings,6 wickets,Karachi,"Mar 3, 2021",Twenty20,161
161,Sultans,Gladiators,Gladiators,22 runs,Karachi,"Mar 3, 2021",Twenty20,162
162,United,Qalandars,Qalandars,5 wickets,Abu Dhabi,"Jun 9, 2021",Twenty20,163
163,Kings,Sultans,Sultans,12 runs,Abu Dhabi,"Jun 10, 2021",Twenty20,164
164,Qalandars,Zalmi,Qalandars,10 runs,Abu Dhabi,"Jun 10, 2021",Twenty20,165
165,United,Gladiators,United,10 wickets,Abu Dhabi,"Jun 11, 2021",Twenty20,166
166,Zalmi,Gladiators,Zalmi,61 runs,Abu Dhabi,"Jun 12, 2021",Twenty20,167
167,United,Qalandars,United,28 runs,Abu Dhabi,"Jun 13, 2021",Twenty20,168
168,Sultans,Zalmi,Sultans,8 wickets,Abu Dhabi,"Jun 13, 2021",Twenty20,169
169,United,Kings,United,8 wickets,Abu Dhabi,"Jun 14, 2021",Twenty20,170
170,Qalandars,Gladiators,Gladiators,18 runs,Abu Dhabi,"Jun 15, 2021",Twenty20,171
171,Kings,Zalmi,Zalmi,6 wickets,Abu Dhabi,"Jun 15, 2021",Twenty20,172
172,Sultans,Gladiators,Sultans,110 runs,Abu Dhabi,"Jun 16, 2021",Twenty20,173
173,United,Zalmi,United,15 runs,Abu Dhabi,"Jun 17, 2021",Twenty20,174
174,Kings,Qalandars,Kings,7 runs,Abu Dhabi,"Jun 17, 2021",Twenty20,175
175,Qalandars,Sultans,Sultans,80 runs,Abu Dhabi,"Jun 18, 2021",Twenty20,176
176,Kings,Gladiators,Kings,14 runs,Abu Dhabi,"Jun 19, 2021",Twenty20,177
177,United,Sultans,United,4 wickets,Abu Dhabi,"Jun 19, 2021",Twenty20,178
178,United,Sultans,Sultans,31 runs,Abu Dhabi,"Jun 21, 2021",Twenty20,179
179,Zalmi,Kings,Zalmi,5 wickets,Abu Dhabi,"Jun 21, 2021",Twenty20,180
180,United,Zalmi,Zalmi,8 wickets,Abu Dhabi,"Jun 22, 2021",Twenty20,181
181,Sultans,Zalmi,Sultans,47 runs,Abu Dhabi,"Jun 24, 2021",Twenty20,182
182,Kings,Sultans,Sultans,7 wickets,Karachi,"Jan 27, 2022",Twenty20,183
183,Gladiators,Zalmi,Zalmi,5 wickets,Karachi,"Jan 28, 2022",Twenty20,184
184,Sultans,Qalandars,Sultans,5 wickets,Karachi,"Jan 29, 2022",Twenty20,185
185,Kings,Gladiators,Gladiators,8 wickets,Karachi,"Jan 29, 2022",Twenty20,186
186,Zalmi,United,United,9 wickets,Karachi,"Jan 30, 2022",Twenty20,187
187,Kings,Qalandars,Qalandars,6 wickets,Karachi,"Jan 30, 2022",Twenty20,188
188,Gladiators,Sultans,Sultans,6 runs,Karachi,"Jan 31, 2022",Twenty20,189
189,United,Sultans,Sultans,20 runs,Karachi,"Feb 1, 2022",Twenty20,190
190,Zalmi,Qalandars,Qalandars,29 runs,Karachi,"Feb 2, 2022",Twenty20,191
191,Gladiators,United,United,43 runs,Karachi,"Feb 3, 2022",Twenty20,192
192,Kings,Zalmi,Zalmi,9 runs,Karachi,"Feb 4, 2022",Twenty20,193
193,United,Qalandars,Qalandars,8 runs,Karachi,"Feb 5, 2022",Twenty20,194
194,Zalmi,Sultans,Sultans,57 runs,Karachi,"Feb 5, 2022",Twenty20,195
195,Kings,United,United,42 runs,Karachi,"Feb 6, 2022",Twenty20,196
196,Gladiators,Qalandars,Gladiators,7 wickets,Karachi,"Feb 7, 2022",Twenty20,197
197,Sultans,Zalmi,Sultans,42 runs,Lahore,"Feb 10, 2022",Twenty20,198
198,Qalandars,Sultans,Qalandars,52 runs,Lahore,"Feb 11, 2022",Twenty20,199
199,United,Gladiators,Gladiators,5 wickets,Lahore,"Feb 12, 2022",Twenty20,200
200,Zalmi,Kings,Zalmi,55 runs,Lahore,"Feb 13, 2022",Twenty20,201
201,Qalandars,Gladiators,Qalandars,8 wickets,Lahore,"Feb 13, 2022",Twenty20,202
202,United,Kings,United,1 run,Lahore,"Feb 14, 2022",Twenty20,203
203,Zalmi,Gladiators,Zalmi,24 runs,Lahore,"Feb 15, 2022",Twenty20,204
204,Sultans,Kings,Sultans,7 wickets,Lahore,"Feb 16, 2022",Twenty20,205
205,United,Zalmi,Zalmi,10 runs,Lahore,"Feb 17, 2022",Twenty20,206
206,Sultans,Gladiators,Sultans,117 runs,Lahore,"Feb 18, 2022",Twenty20,207
