BATTING,dismissal,R,B,4s,6s,SR,id
Sohail Tanvir,run out (Rumman Raees),1,4,0,0,25.00,6
Usama Mir,run out (†Billings),10,9,1,0,111.11,6
Mohammad Amir,not out,5,4,1,0,125.00,6
Tamim Iqbal,c Mohammad Nabi b Mohammad Nawaz,14,19,1,0,73.68,7
Mohammad Hafeez,c Chigumbura b Mohammad Nawaz,10,10,0,0,100.00,7
Dawid Malan,c †Sarfaraz Ahmed b Umar Gul,18,21,1,1,85.71,7
Kamran Akmal †,c Mohammad Nawaz b Zulfiqar Babar,6,8,0,0,75.00,7
Shahid Yousaf,c & b Mohammad Nawaz,21,25,1,0,84.00,7
Shahid Afridi (c),c Zulfiqar Babar b Umar Gul,0,2,0,0,0.00,7
Daren Sammy,c Mohammad Nawaz b Anwar Ali,48,31,1,4,154.83,7
Wahab Riaz,not out,10,4,1,0,250.00,7
Junaid Khan,not out,0,0,0,0,-,7
Luke Wright,b Shahid Afridi,16,16,2,0,100.00,7
Ahmed Shehzad,c †Kamran Akmal b Tait,16,11,1,1,145.45,7
Kevin Pietersen,c Shahid Afridi b Junaid Khan,35,29,2,1,120.68,7
Sarfaraz Ahmed (c)†,c Malan b Shahid Afridi,21,24,2,0,87.50,7
Mohammad Nawaz,c Malan b Wahab Riaz,4,4,1,0,100.00,7
Akbar-ur-Rehman,st †Kamran Akmal b Mohammad Asghar,11,11,1,0,100.00,7
Mohammad Nabi,c †Kamran Akmal b Wahab Riaz,9,9,1,0,100.00,7
Elton Chigumbura,not out,7,8,1,0,87.50,7
Anwar Ali,not out,10,7,0,1,142.85,7
Azhar Ali (c),c Akbar-ur-Rehman b Umar Gul,20,21,2,1,95.23,8
Cameron Delport,lbw b Zulfiqar Babar,73,55,8,3,132.72,8
Umar Akmal,c Akbar-ur-Rehman b Anwar Ali,93,40,6,8,232.50,8
Dwayne Bravo,not out,5,5,0,0,100.00,8
Hammad Azam,not out,0,0,0,0,-,8
Luke Wright,c Cooper b Zafar Gohar,4,8,0,0,50.00,8
Ahmed Shehzad,b Cooper,15,11,3,0,136.36,8
Kevin Pietersen,c Cooper b Bravo,12,7,1,1,171.42,8
Mohammad Nawaz,st †Mohammad Rizwan b Mendis,42,34,5,1,123.52,8
Sarfaraz Ahmed (c)†,st †Mohammad Rizwan b Zohaib Khan,31,19,3,1,163.15,8
Mohammad Nabi,c Umar Akmal b Zafar Gohar,6,6,0,0,100.00,8
Elton Chigumbura,c Azhar Ali b Mendis,3,4,0,0,75.00,8
Akbar-ur-Rehman,st †Mohammad Rizwan b Zafar Gohar,3,4,0,0,75.00,8
Anwar Ali,c Zafar Gohar b Mendis,3,3,0,0,100.00,8
Umar Gul,c Umar Akmal b Zafar Gohar,0,1,0,0,0.00,8
Zulfiqar Babar,not out,1,1,0,0,100.00,8
Azhar Ali (c),lbw b Mohammad Sami,27,18,5,0,150.00,9
Cameron Delport,b Mohammad Sami,3,4,0,0,75.00,9
Naved Yasin,c †Haddin b Saeed Ajmal,25,28,2,1,89.28,9
Umar Akmal,lbw b Imran Khalid,23,23,0,2,100.00,9
Dwayne Bravo,run out (Kamran Ghulam),26,17,3,0,152.94,9
Mohammad Rizwan †,not out,50,27,5,3,185.18,9
Kevon Cooper,c & b Rumman Raees,0,1,0,0,0.00,9
Zohaib Khan,not out,3,2,0,0,150.00,9
Shane Watson (c),c †Mohammad Rizwan b Ehsan Adil,79,47,4,7,168.08,9
Sharjeel Khan,not out,79,43,5,7,183.72,9
Andre Russell,c Umar Akmal b Ehsan Adil,2,5,0,0,40.00,9
Brad Haddin †,not out,0,0,0,0,-,9
Tamim Iqbal,c Simmons b Bopara,37,35,3,0,105.71,10
Mohammad Hafeez,lbw b Bopara,59,35,7,3,168.57,10
Kamran Akmal †,c Vince b Mohammad Amir,30,20,2,2,150.00,10
Dawid Malan,c Imad Wasim b Sohail Tanvir,12,12,1,0,100.00,10
Shahid Afridi (c),not out,17,9,1,1,188.88,10
Daren Sammy,not out,18,10,1,2,180.00,10
Lendl Simmons,b Wahab Riaz,9,12,1,0,75.00,10
Nauman Anwar,run out (Shahid Yousuf),14,16,3,0,87.50,10
James Vince,b Tait,44,28,5,1,157.14,10
Imad Wasim,run out (Shahid Yousuf/Mohammad Asghar),0,2,0,0,0.00,10
Shoaib Malik (c),c Sammy b Mohammad Asghar,8,7,0,1,114.28,10
Shakib Al Hasan,c Mohammad Asghar b Shahid Afridi,1,4,0,0,25.00,10
Ravi Bopara,c Shahid Yousuf b Sammy,67,33,5,4,203.03,10
Sohail Tanvir,b Wahab Riaz,23,17,2,2,135.29,10
Usama Mir,run out (†Kamran Akmal),1,1,0,0,100.00,10
Saifullah Bangash †,not out,0,1,0,0,0.00,10
Mohammad Amir,not out,0,1,0,0,0.00,10
Shane Watson (c),c Ahmed Shehzad b Aizaz Cheema,40,28,3,3,142.85,11
Sharjeel Khan,c Akbar-ur-Rehman b Zulfiqar Babar,2,3,0,0,66.66,11
Brad Haddin †,st †Sarfaraz Ahmed b Elliott,15,15,0,1,100.00,11
Khalid Latif,lbw b Mohammad Nabi,6,10,0,0,60.00,11
Sam Billings,lbw b Elliott,2,4,0,0,50.00,11
Imran Khalid,c †Sarfaraz Ahmed b Mohammad Nawaz,18,18,1,1,100.00,11
Kamran Ghulam,c Anwar Ali b Elliott,9,12,0,0,75.00,11
Andre Russell,lbw b Zulfiqar Babar,10,13,1,0,76.92,11
Saeed Ajmal,c Zulfiqar Babar b Anwar Ali,10,6,0,1,166.66,11
Rumman Raees,b Aizaz Cheema,2,5,0,0,40.00,11
Mohammad Irfan,not out,0,1,0,0,0.00,11
Luke Wright,c Billings b Russell,5,6,1,0,83.33,11
Ahmed Shehzad,c Sharjeel Khan b Russell,41,31,5,1,132.25,11
Kevin Pietersen,b Russell,0,1,0,0,0.00,11
Sarfaraz Ahmed (c)†,not out,51,39,6,0,130.76,11
Mohammad Nawaz,not out,14,21,0,0,66.66,11
Nauman Anwar,c Umar Akmal b Zohaib Khan,35,25,2,3,140.00,12
Shoaib Malik (c),c Delport b Zafar Gohar,27,25,2,1,108.00,12
James Vince,c Bravo b Zohaib Khan,7,5,1,0,140.00,12
Ravi Bopara,not out,71,43,3,4,165.11,12
Shakib Al Hasan,c Bravo b Zafar Gohar,9,9,0,0,100.00,12
Imad Wasim,c Delport b Cooper,11,7,0,1,157.14,12
