BATTING,dismissal,R,B,4s,6s,SR,id
Rameez Raja,not out,1,1,0,0,100.00,67
Joe Denly,st †Sarfaraz Ahmed b Mohammad Nawaz,1,3,0,0,33.33,67
Shahid Afridi,c Laughlin b Rahat Ali,1,6,0,0,16.66,67
Colin Ingram,c Mohammad Nawaz b Hassan Khan,5,6,1,0,83.33,67
Babar Azam,c Anwar Ali b Watson,32,32,3,1,100.00,67
Ravi Bopara,c †Sarfaraz Ahmed b Laughlin,0,1,0,0,0.00,67
Imad Wasim (c),c Anwar Ali b Rahat Ali,35,31,1,1,112.90,67
Mohammad Rizwan †,not out,26,27,0,0,96.29,67
David Wiese,c Laughlin b Anwar Ali,5,6,1,0,83.33,67
Mohammad Irfan,c Asad Shafiq b Anwar Ali,0,1,0,0,0.00,67
Mohammad Amir,not out,6,7,1,0,85.71,67
Ahmed Shehzad,c †Gulraiz Sadaf b McClenaghan,32,34,3,1,94.11,68
Kumar Sangakkara †,c Devcich b Narine,45,30,8,1,150.00,68
Sohaib Maqsood,b Narine,16,18,1,0,88.88,68
Shoaib Malik (c),c Sohail Akhtar b Shaheen Shah Afridi,3,10,0,0,30.00,68
Kieron Pollard,b Sohail Khan,9,11,1,0,81.81,68
Ross Whiteley,b Shaheen Shah Afridi,0,1,0,0,0.00,68
Saif Badar,c Agha Salman b Shaheen Shah Afridi,0,2,0,0,0.00,68
Sohail Tanvir,run out (Fakhar Zaman/McCullum),2,3,0,0,66.66,68
Imran Tahir,not out,2,5,0,0,40.00,68
Junaid Khan,lbw b Shaheen Shah Afridi,1,3,0,0,33.33,68
Mohammad Irfan,b Shaheen Shah Afridi,0,1,0,0,0.00,68
Fakhar Zaman,c Pollard b Imran Tahir,16,11,3,0,145.45,68
Anton Devcich,c †Sangakkara b Shoaib Malik,22,9,5,0,244.44,68
Agha Salman,c †Sangakkara b Mohammad Irfan,3,8,0,0,37.50,68
Gulraiz Sadaf †,c Ahmed Shehzad b Saif Badar,27,40,3,0,67.50,68
Brendon McCullum (c),not out,35,35,2,1,100.00,68
Sohail Akhtar,not out,11,9,0,1,122.22,68
Jean-Paul Duminy,not out,73,54,6,4,135.18,69
Luke Ronchi †,c Dawson b Wahab Riaz,27,17,6,0,158.82,69
Hussain Talat,b Wahab Riaz,29,24,2,1,120.83,69
Shadab Khan,run out (Mohammad Hafeez/†Kamran Akmal),0,0,0,0,-,69
Asif Ali,b Wahab Riaz,45,24,2,4,187.50,69
Faheem Ashraf,run out (†Kamran Akmal),1,1,0,0,100.00,69
Kamran Akmal †,lbw b Patel,22,17,3,1,129.41,69
Andre Fletcher,c Faheem Ashraf b Patel,19,18,1,1,105.55,69
Dwayne Smith,b Patel,8,9,1,0,88.88,69
Mohammad Hafeez,lbw b Zafar Gohar,13,11,1,1,118.18,69
Khushdil Shah,c Hussain Talat b Shadab Khan,8,11,1,0,72.72,69
Liam Dawson,b Zafar Gohar,1,4,0,0,25.00,69
Daren Sammy (c),b Zafar Gohar,0,2,0,0,0.00,69
Hasan Ali,c Duminy b Patel,15,7,1,1,214.28,69
Wahab Riaz,not out,33,25,5,0,132.00,69
Umaid Asif,c Patel b Faheem Ashraf,25,17,1,2,147.05,69
Ibtisam Sheikh,not out,0,0,0,0,-,69
Lendl Simmons,c Viljoen b Mohammad Irfan,4,13,0,0,30.76,70
Joe Denly,c Imran Tahir b Viljoen,78,55,10,2,141.81,70
Babar Azam,c Ahmed Shehzad b Viljoen,58,39,6,1,148.71,70
Colin Ingram,not out,29,8,0,4,362.50,70
Ravi Bopara,not out,4,5,0,0,80.00,70
Kumar Sangakkara †,c †Mohammad Rizwan b Mohammad Irfan,18,13,2,1,138.46,70
Ahmed Shehzad,st †Mohammad Rizwan b Imad Wasim,24,17,1,2,141.17,70
Sohaib Maqsood,c Babar Azam b Usman Shinwari,11,7,1,1,157.14,70
Shoaib Malik (c),b Shahid Afridi,6,8,0,0,75.00,70
Kieron Pollard,b Shahid Afridi,3,6,0,0,50.00,70
Saif Badar,b Shahid Afridi,13,11,1,1,118.18,70
Hardus Viljoen,run out (Mohammad Amir/†Mohammad Rizwan),2,7,0,0,28.57,70
Sohail Tanvir,not out,34,29,1,4,117.24,70
Imran Tahir,b Mohammad Amir,2,9,0,0,22.22,70
Junaid Khan,c Denly b Mohammad Irfan,1,2,0,0,50.00,70
Mohammad Irfan,run out (Denly),6,10,1,0,60.00,70
Mohammad Hafeez,c Watson b Laughlin,31,26,2,2,119.23,71
Kamran Akmal †,b Mohammad Nawaz,0,1,0,0,0.00,71
Dwayne Smith,c Pietersen b Watson,49,33,1,5,148.48,71
Riki Wessels,not out,31,29,3,1,106.89,71
Khushdil Shah,c Hassan Khan b Rahat Ali,4,7,0,0,57.14,71
Liam Dawson,c Mohammad Nawaz b Watson,2,5,0,0,40.00,71
Daren Sammy (c),not out,36,19,4,2,189.47,71
Asad Shafiq,c Mohammad Hafeez b Hasan Ali,9,11,1,0,81.81,71
Shane Watson,c †Kamran Akmal b Umaid Asif,37,25,6,1,148.00,71
Kevin Pietersen,c †Kamran Akmal b Dawson,21,13,0,2,161.53,71
Rameez Raja,c Sammy b Wahab Riaz,9,9,0,1,100.00,71
Rilee Rossouw,not out,30,27,3,0,111.11,71
Sarfaraz Ahmed (c)†,not out,45,31,6,0,145.16,71
Lendl Simmons,c McClenaghan b Sohail Khan,55,39,8,1,141.02,72
Joe Denly,c McCullum b Yasir Shah,3,4,0,0,75.00,72
Babar Azam,c Narine b Sohail Khan,61,49,6,1,124.48,72
Colin Ingram,c †Gulraiz Sadaf b Sohail Khan,12,13,1,0,92.30,72
Ravi Bopara,not out,13,11,2,0,118.18,72
Shahid Afridi,b Shaheen Shah Afridi,6,2,0,1,300.00,72
Imad Wasim (c),not out,1,2,0,0,50.00,72
Fakhar Zaman,c Ingram b Imad Wasim,28,26,1,2,107.69,72
Anton Devcich,b Mohammad Irfan,24,14,5,0,171.42,72
Agha Salman,c Simmons b Usman Shinwari,50,45,4,1,111.11,72
Sunil Narine,lbw b Mohammad Irfan,6,7,0,0,85.71,72
Brendon McCullum (c),c Simmons b Usman Shinwari,15,17,0,1,88.23,72
Sohail Akhtar,not out,15,8,1,1,187.50,72
Sohail Khan,c Imad Wasim b Mohammad Amir,0,1,0,0,0.00,72
Mitchell McClenaghan,run out (†Mohammad Rizwan),4,2,1,0,200.00,72
Gulraiz Sadaf †,run out (Usman Shinwari/†Mohammad Rizwan),2,2,0,0,100.00,72
Luke Ronchi †,b Imran Tahir,58,36,6,3,161.11,73
Jean-Paul Duminy,run out (Shoaib Malik),6,12,0,0,50.00,73
Alex Hales,c Sohaib Maqsood b Umar Gul,46,33,5,2,139.39,73
Hussain Talat,c Pollard b Umar Gul,36,21,4,1,171.42,73
Asif Ali,not out,17,13,2,1,130.76,73
Faheem Ashraf,not out,13,6,1,1,216.66,73
Kumar Sangakkara †,c Hales b Patel,1,3,0,0,33.33,73
Ahmed Shehzad,c Amad Butt b Faheem Ashraf,3,10,0,0,30.00,73
Saif Badar,lbw b Patel,0,1,0,0,0.00,73
Sohaib Maqsood,c Hales b Amad Butt,13,13,2,0,100.00,73
Shoaib Malik (c),b Shadab Khan,12,15,2,0,80.00,73
Kieron Pollard,c Hales b Mohammad Sami,73,47,5,6,155.31,73
Ross Whiteley,c Duminy b Shadab Khan,11,10,1,0,110.00,73
Sohail Tanvir,run out (Mohammad Sami),10,5,2,0,200.00,73
Umar Gul,c Asif Ali b Faheem Ashraf,10,6,0,1,166.66,73
Imran Tahir,not out,7,4,1,0,175.00,73
Mohammad Irfan,b Amad Butt,0,1,0,0,0.00,73
Fakhar Zaman,c Hassan Khan b Anwar Ali,94,50,9,6,188.00,74
Anton Devcich,c Anwar Ali b Rahat Ali,18,17,2,1,105.88,74
Agha Salman,b Mir Hamza,1,2,0,0,50.00,74
Brendon McCullum (c),st †Sarfaraz Ahmed b Hassan Khan,5,11,0,0,45.45,74
Gulraiz Sadaf †,not out,42,27,3,2,155.55,74
Sunil Narine,not out,20,14,2,1,142.85,74
Jason Roy,lbw b Narine,36,26,2,3,138.46,74
Shane Watson,b Shaheen Shah Afridi,12,13,0,1,92.30,74
Kevin Pietersen,b Narine,11,8,0,1,137.50,74
Rameez Raja,c Fakhar Zaman b Yasir Shah,7,7,0,0,100.00,74
Rilee Rossouw,b McClenaghan,42,22,0,5,190.90,74
Anwar Ali,c Shaheen Shah Afridi b Yasir Shah,4,4,0,0,100.00,74
Sarfaraz Ahmed (c)†,not out,28,19,2,1,147.36,74
Mohammad Nawaz,not out,19,21,1,1,90.47,74
Mohammad Hafeez,b Usman Shinwari,0,3,0,0,0.00,75
Kamran Akmal,c Bopara b Usman Shinwari,75,51,3,6,147.05,75
Dwayne Smith,c Babar Azam b Shahid Afridi,15,16,0,2,93.75,75
Riki Wessels †,c Usman Shinwari b Bopara,11,14,1,0,78.57,75
Saad Nasim,b Usman Shinwari,35,18,4,2,194.44,75
Daren Sammy (c),not out,36,15,2,4,240.00,75
Liam Dawson,b Mohammad Amir,2,4,0,0,50.00,75
Babar Azam,c Dawson b Wahab Riaz,66,50,4,4,132.00,75
Joe Denly,c Umaid Asif b Hasan Ali,0,5,0,0,0.00,75
Colin Ingram,b Wahab Riaz,0,8,0,0,0.00,75
Eoin Morgan (c),c Saad Nasim b Dawson,5,7,0,0,71.42,75
Ravi Bopara,c sub (Mohammad Asghar) b Dawson,7,13,0,0,53.84,75
Shahid Afridi,c sub (Mohammad Asghar) b Dawson,26,8,0,4,325.00,75
Mohammad Rizwan †,c Sameen Gul b Umaid Asif,16,18,1,0,88.88,75
Usama Mir,b Umaid Asif,9,11,1,0,81.81,75
Mohammad Irfan,not out,0,0,0,0,-,75
Jason Roy,b Amad Butt,17,22,3,0,77.27,76
Shane Watson,c Hales b Patel,8,6,0,1,133.33,76
Umar Amin,c Hales b Amad Butt,28,27,0,1,103.70,76
Kevin Pietersen,c †Ronchi b Faheem Ashraf,7,6,1,0,116.66,76
Sarfaraz Ahmed (c)†,b Hussain Talat,43,30,3,2,143.33,76
Rilee Rossouw,not out,16,15,1,1,106.66,76
Anwar Ali,c Duminy b Faheem Ashraf,2,3,0,0,66.66,76
Mohammad Nawaz,c Duminy b Faheem Ashraf,1,3,0,0,33.33,76
Hassan Khan,not out,15,9,0,1,166.66,76
Jean-Paul Duminy,c Hassan Khan b Rahat Ali,54,47,4,2,114.89,76
Luke Ronchi †,b Rahat Ali,10,9,1,1,111.11,76
Alex Hales,c Watson b Mir Hamza,16,12,2,0,133.33,76
Shadab Khan,b Watson,18,18,3,0,100.00,76
Hussain Talat,not out,28,17,2,2,164.70,76
Asif Ali,not out,18,7,0,2,257.14,76
Fakhar Zaman,b Hasan Ali,6,11,1,0,54.54,77
Anton Devcich,c Mohammad Hafeez b Hasan Ali,70,42,2,7,166.66,77
Brendon McCullum (c),b Sameen Gul,7,5,0,1,140.00,77
Agha Salman,c Dawson b Wahab Riaz,28,25,0,2,112.00,77
Gulraiz Sadaf †,not out,26,21,2,1,123.80,77
Sohail Akhtar,not out,30,16,3,2,187.50,77
Kamran Akmal †,not out,107,61,11,7,175.40,77
Riki Wessels,b Abbott,4,2,1,0,200.00,77
Dwayne Smith,b Yasir Shah,14,12,3,0,116.66,77
Mohammad Hafeez,b Yasir Shah,27,25,2,1,108.00,77
Saad Nasim,not out,17,8,2,1,212.50,77
Jean-Paul Duminy,lbw b Usman Shinwari,4,9,1,0,44.44,78
Alex Hales,c & b Mohammad Irfan,11,9,2,0,122.22,78
Chadwick Walton †,b Shahid Afridi,21,17,2,1,123.52,78
Misbah-ul-Haq (c),b Shahid Afridi,19,23,3,0,82.60,78
Hussain Talat,c Ingram b Mohammad Irfan,1,2,0,0,50.00,78
Asif Ali,b Mills,34,14,1,4,242.85,78
Shadab Khan,c Babar Azam b Mohammad Amir,8,10,0,0,80.00,78
Faheem Ashraf,b Usman Shinwari,4,8,0,0,50.00,78
Amad Butt,not out,13,14,1,0,92.85,78
Zafar Gohar,c Shahid Afridi b Usman Shinwari,3,7,0,0,42.85,78
Steven Finn,lbw b Usman Shinwari,0,1,0,0,0.00,78
Khurram Manzoor,lbw b Finn,15,12,1,1,125.00,78
Joe Denly,b Faheem Ashraf,36,28,6,1,128.57,78
Babar Azam,not out,29,26,2,0,111.53,78
Eoin Morgan (c),c †Walton b Shadab Khan,2,6,0,0,33.33,78
Colin Ingram,not out,31,30,2,2,103.33,78
Khurram Manzoor,c & b Mohammad Sami,6,12,1,0,50.00,79
Joe Denly,hit wicket b Faheem Ashraf,51,46,4,1,110.86,79
Babar Azam,c Duminy b Mohammad Sami,0,2,0,0,0.00,79
Eoin Morgan (c),c Duminy b Amad Butt,21,16,3,0,131.25,79
Colin Ingram,not out,68,39,1,6,174.35,79
Shahid Afridi,not out,4,5,0,0,80.00,79
Luke Ronchi †,not out,94,39,12,5,241.02,79
Sahibzada Farhan,c Shahid Afridi b Mills,29,18,0,3,161.11,79
Alex Hales,c Mills b Usman Shinwari,14,11,2,0,127.27,79
Samit Patel,not out,14,7,3,0,200.00,79
Tamim Iqbal,c Kohler-Cadmore b Mohammad Nawaz,27,29,5,0,93.10,80
Kamran Akmal †,b Rahat Ali,0,3,0,0,0.00,80
Andre Fletcher,c Perera b Mir Hamza,1,3,0,0,33.33,80
Mohammad Hafeez,b Mahmudullah,25,14,4,1,178.57,80
Liam Dawson,c †Sarfaraz Ahmed b Rahat Ali,62,35,6,4,177.14,80
Saad Nasim,c Perera b Hassan Khan,9,13,1,0,69.23,80
Umaid Asif,c Asad Shafiq b Rahat Ali,7,6,1,0,116.66,80
Daren Sammy (c),c Mir Hamza b Rahat Ali,2,5,0,0,40.00,80
Wahab Riaz,b Perera,15,7,2,0,214.28,80
Hasan Ali,c Kohler-Cadmore b Perera,4,5,0,0,80.00,80
Sameen Gul,not out,1,1,0,0,100.00,80
Asad Shafiq,c Sammy b Hasan Ali,0,1,0,0,0.00,80
Tom Kohler-Cadmore,c †Kamran Akmal b Hasan Ali,5,5,1,0,100.00,80
Mohammad Nawaz,c Umaid Asif b Sameen Gul,35,32,5,1,109.37,80
Sarfaraz Ahmed (c)†,c †Kamran Akmal b Sameen Gul,35,21,3,2,166.66,80
Rilee Rossouw,c Hasan Ali b Umaid Asif,8,14,0,0,57.14,80
Mahmudullah,b Umaid Asif,19,20,3,0,95.00,80
Thisara Perera,c sub (CJ Jordan) b Wahab Riaz,12,11,0,1,109.09,80
Anwar Ali,not out,28,14,1,3,200.00,80
Hassan Khan,c †Kamran Akmal b Wahab Riaz,0,1,0,0,0.00,80
Mir Hamza,run out (Umaid Asif/Dawson),0,1,0,0,0.00,80
Kamran Akmal †,c Mukhtar Ahmed b Bopara,77,27,5,8,285.18,81
Andre Fletcher,c Denly b Bopara,34,30,3,2,113.33,81
Liam Dawson,c Ingram b Usman Shinwari,13,13,0,1,100.00,81
Mohammad Hafeez,c & b Bopara,13,8,1,1,162.50,81
Daren Sammy (c),c Denly b Mills,23,12,1,2,191.66,81
Saad Nasim,run out (†Mohammad Rizwan/Mills),2,5,0,0,40.00,81
Wahab Riaz,c Denly b Mills,0,1,0,0,0.00,81
Chris Jordan,not out,0,1,0,0,0.00,81
Hasan Ali,not out,0,0,0,0,-,81
Mukhtar Ahmed,c Sammy b Sameen Gul,1,3,0,0,33.33,81
Joe Denly,not out,79,46,9,4,171.73,81
Babar Azam,c Dawson b Hasan Ali,63,45,6,2,140.00,81
Colin Ingram,not out,5,3,1,0,166.66,81
Kamran Akmal †,lbw b Patel,1,9,0,0,11.11,82
Andre Fletcher,lbw b Shadab Khan,21,15,4,0,140.00,82
Mohammad Hafeez,c & b Patel,8,6,0,1,133.33,82
Chris Jordan,c Duminy b Hussain Talat,36,26,1,3,138.46,82
Liam Dawson,b Mohammad Sami,33,30,1,1,110.00,82
Saad Nasim,c & b Hussain Talat,2,3,0,0,66.66,82
Daren Sammy (c),lbw b Shadab Khan,6,6,1,0,100.00,82
Umaid Asif,lbw b Shadab Khan,0,1,0,0,0.00,82
Hasan Ali,c Walton b Faheem Ashraf,6,5,1,0,120.00,82
Wahab Riaz,not out,28,14,4,1,200.00,82
Sameen Gul,not out,2,5,0,0,40.00,82
Luke Ronchi †,c Fletcher b Jordan,52,26,4,5,200.00,82
Sahibzada Farhan,c Hasan Ali b Wahab Riaz,44,33,5,1,133.33,82
Chadwick Walton,b Umaid Asif,0,2,0,0,0.00,82
Jean-Paul Duminy (c),c & b Jordan,2,4,0,0,50.00,82
Samit Patel,c Mohammad Hafeez b Hasan Ali,10,13,2,0,76.92,82
Shadab Khan,c Jordan b Hasan Ali,1,2,0,0,50.00,82
Hussain Talat,b Wahab Riaz,7,11,0,0,63.63,82
Asif Ali,not out,26,6,0,3,433.33,82
Faheem Ashraf,not out,6,4,0,1,150.00,82
Fakhar Zaman,c Rizwan Hussain b Shadab Khan,65,44,6,3,147.72,83
Sohail Akhtar,c †Ronchi b Faheem Ashraf,37,30,4,1,123.33,83
AB de Villiers,c Salt b Waqas Maqsood,24,17,2,1,141.17,83
Anton Devcich,run out (Faheem Ashraf),14,12,0,0,116.66,83
Brendan Taylor †,lbw b Delport,2,3,0,0,66.66,83
Carlos Brathwaite,c Hussain Talat b Faheem Ashraf,6,6,1,0,100.00,83
Mohammad Hafeez (c),not out,5,3,1,0,166.66,83
Yasir Shah,run out (†Ronchi),7,4,0,1,175.00,83
Shaheen Shah Afridi,lbw b Mohammad Sami,2,2,0,0,100.00,83
Luke Ronchi †,c Haris Rauf b Rahat Ali,27,17,4,1,158.82,83
Rizwan Hussain,c Mohammad Hafeez b Rahat Ali,15,15,2,0,100.00,83
Cameron Delport,c Mohammad Hafeez b Rahat Ali,24,21,0,2,114.28,83
Phil Salt,c sub (Hassan Khan) b Rahat Ali,4,4,1,0,100.00,83
Hussain Talat,c Rahat Ali b Brathwaite,37,30,3,1,123.33,83
Asif Ali,not out,36,19,2,3,189.47,83
Faheem Ashraf,not out,23,11,2,2,209.09,83
Liam Livingstone,c Russell b Green,82,43,6,6,190.69,84
Babar Azam,c Shan Masood b Green,77,59,6,1,130.50,84
Colin Ingram,c Shan Masood b Russell,1,2,0,0,50.00,84
Imad Wasim (c),c Mohammad Ilyas b Green,4,4,0,0,100.00,84
Sikandar Raza,run out (†Moores),4,6,0,0,66.66,84
Ravi Bopara,not out,3,3,0,0,100.00,84
Mohammad Rizwan †,c Hammad Azam b Junaid Khan,1,2,0,0,50.00,84
Sohail Khan,not out,4,1,1,0,400.00,84
Shan Masood,c Mohammad Amir b Umer Khan,20,20,2,0,100.00,84
Tom Moores †,c Ingram b Mohammad Amir,1,6,0,0,16.66,84
Laurie Evans,run out (†Mohammad Rizwan/Usman Shinwari),49,39,7,0,125.64,84
Shoaib Malik (c),c Sikandar Raza b Usman Shinwari,52,28,5,2,185.71,84
Andre Russell,c †Mohammad Rizwan b Mohammad Amir,9,5,0,1,180.00,84
Shahid Afridi,b Mohammad Amir,14,8,3,0,175.00,84
Hammad Azam,c Livingstone b Mohammad Amir,12,6,1,1,200.00,84
Chris Green,c Ingram b Sohail Khan,6,5,0,0,120.00,84
Mohammad Ilyas,b Sohail Khan,0,1,0,0,0.00,84
Junaid Khan,not out,0,0,0,0,-,84
Mohammad Irfan,not out,4,2,1,0,200.00,84
Kamran Akmal †,c Rossouw b Mohammad Nawaz,49,36,5,3,136.11,85
Andre Fletcher,lbw b Mohammad Irfan,1,3,0,0,33.33,85
Sohaib Maqsood,c Mohammad Irfan b Ghulam Mudassar,26,29,1,2,89.65,85
Misbah-ul-Haq,not out,49,32,4,2,153.12,85
Kieron Pollard,c Umar Akmal b Mohammad Nawaz,3,6,0,0,50.00,85
Liam Dawson,not out,21,14,1,1,150.00,85
Ahmed Shehzad,lbw b Hasan Ali,0,1,0,0,0.00,85
Shane Watson,c Hasan Ali b Umaid Asif,19,15,2,1,126.66,85
Rilee Rossouw,c Sohaib Maqsood b Wahab Riaz,19,14,3,0,135.71,85
Umar Akmal,not out,75,50,7,3,150.00,85
Sarfaraz Ahmed (c)†,c Sammy b Wahab Riaz,37,29,3,1,127.58,85
Dwayne Smith,not out,11,9,2,0,122.22,85
Luke Ronchi †,c Junaid Khan b Shahid Afridi,51,33,1,5,154.54,86
Rizwan Hussain,c Evans b Mohammad Irfan,4,8,0,0,50.00,86
Cameron Delport,c Mohammad Irfan b Ali Shafique,0,4,0,0,0.00,86
Hussain Talat,c Shahid Afridi b Junaid Khan,7,12,0,0,58.33,86
Phil Salt,b Shahid Afridi,4,2,1,0,200.00,86
Shadab Khan,b Ali Shafique,15,17,0,0,88.23,86
Asif Ali,c †Charles b Junaid Khan,2,5,0,0,40.00,86
Samit Patel,not out,20,26,1,0,76.92,86
Faheem Ashraf,not out,20,14,1,1,142.85,86
Shan Masood,run out (Shadab Khan),26,20,4,0,130.00,86
Johnson Charles †,c †Ronchi b Waqas Maqsood,0,6,0,0,0.00,86
Laurie Evans,c Asif Ali b Shadab Khan,15,25,0,0,60.00,86
Shoaib Malik (c),not out,31,29,0,2,106.89,86
Hammad Azam,lbw b Shadab Khan,14,18,1,0,77.77,86
Andre Russell,b Mohammad Sami,16,7,2,1,228.57,86
Shahid Afridi,not out,16,8,0,2,200.00,86
Fakhar Zaman,c †Mohammad Rizwan b Sikandar Raza,26,28,2,0,92.85,87
Sohail Akhtar,c Babar Azam b Umer Khan,39,25,3,2,156.00,87
Anton Devcich,c Bopara b Mohammad Amir,28,30,2,0,93.33,87
AB de Villiers,c Bopara b Umer Khan,3,5,0,0,60.00,87
Mohammad Hafeez (c),run out (Sikandar Raza),14,11,0,1,127.27,87
Brendan Taylor †,run out (Imad Wasim),13,11,0,1,118.18,87
Hardus Viljoen,not out,8,7,1,0,114.28,87
Yasir Shah,not out,2,3,0,0,66.66,87
Liam Livingstone,b Shaheen Shah Afridi,11,9,1,0,122.22,87
Babar Azam,b Viljoen,28,38,2,0,73.68,87
Mohammad Rizwan †,b Haris Rauf,34,33,1,1,103.03,87
Colin Ingram,b Shaheen Shah Afridi,16,14,1,0,114.28,87
Ravi Bopara,c Fakhar Zaman b Haris Rauf,1,5,0,0,20.00,87
Imad Wasim (c),c Yasir Shah b Haris Rauf,17,10,1,1,170.00,87
Sikandar Raza,c Devcich b Rahat Ali,5,6,1,0,83.33,87
Sohail Khan,b Haris Rauf,0,1,0,0,0.00,87
Mohammad Amir,c de Villiers b Rahat Ali,1,2,0,0,50.00,87
Umer Khan,not out,0,0,0,0,-,87
Usman Shinwari,c Viljoen b Rahat Ali,0,1,0,0,0.00,87
Luke Ronchi †,c Ahmed Shehzad b Sohail Tanvir,0,1,0,0,0.00,88
Rizwan Hussain,lbw b Mohammad Nawaz,5,8,1,0,62.50,88
Shadab Khan,c & b Sohail Tanvir,0,5,0,0,0.00,88
Cameron Delport,c Sohail Tanvir b Fawad Ahmed,19,20,1,0,95.00,88
Hussain Talat,b Fawad Ahmed,30,18,4,1,166.66,88
Asif Ali,c Mohammad Nawaz b Sohail Tanvir,36,27,2,2,133.33,88
Faheem Ashraf,c Ahmed Shehzad b Fawad Ahmed,1,7,0,0,14.28,88
Wayne Parnell,c Umar Akmal b Sohail Tanvir,41,20,7,1,205.00,88
Samit Patel,not out,15,12,2,0,125.00,88
Mohammad Sami (c),not out,2,2,0,0,100.00,88
Shane Watson,not out,81,55,6,4,147.27,88
Ahmed Shehzad,b Patel,2,6,0,0,33.33,88
Rilee Rossouw,c Mohammad Sami b Rumman Raees,10,6,2,0,166.66,88
Umar Akmal,c & b Delport,44,28,5,2,157.14,88
Sarfaraz Ahmed (c)†,not out,15,16,0,0,93.75,88
Fakhar Zaman,c Umaid Asif b Hasan Ali,6,8,1,0,75.00,89
Sohail Akhtar,c Umar Amin b Hasan Ali,6,9,1,0,66.66,89
Anton Devcich,c Ibtisam Sheikh b Pollard,18,19,3,0,94.73,89
AB de Villiers (c),b Hasan Ali,14,8,3,0,175.00,89
Brendan Taylor †,b Hasan Ali,1,2,0,0,50.00,89
Agha Salman,c Ibtisam Sheikh b Wahab Riaz,13,18,1,0,72.22,89
Hardus Viljoen,lbw b Ibtisam Sheikh,1,3,0,0,33.33,89
Hassan Khan,st †Kamran Akmal b Ibtisam Sheikh,7,9,1,0,77.77,89
Shaheen Shah Afridi,b Wahab Riaz,4,12,0,0,33.33,89
Haris Rauf,b Wahab Riaz,0,1,0,0,0.00,89
Rahat Ali,not out,1,2,0,0,50.00,89
Kamran Akmal †,b Shaheen Shah Afridi,0,2,0,0,0.00,89
Imam-ul-Haq,lbw b Haris Rauf,1,2,0,0,50.00,89
Umar Amin,not out,61,39,10,1,156.41,89
Wayne Madsen,b Rahat Ali,5,16,0,0,31.25,89
Kieron Pollard,not out,6,2,0,1,300.00,89
Shan Masood,st †Sarfaraz Ahmed b Fawad Ahmed,18,16,3,0,112.50,90
James Vince,lbw b Mohammad Nawaz,28,17,6,0,164.70,90
Laurie Evans,run out (†Sarfaraz Ahmed),10,15,0,0,66.66,90
Shoaib Malik (c),c Ahsan Ali b Sohail Tanvir,53,37,4,2,143.24,90
Dan Christian,c Mohammad Nawaz b Mohammad Irfan,18,19,0,1,94.73,90
Andre Russell,c Rossouw b Ghulam Mudassar,18,12,3,0,150.00,90
Shahid Afridi,lbw b Mohammad Irfan,0,1,0,0,0.00,90
Shakeel Ansar †,not out,0,3,0,0,0.00,90
Noman Ali,c Mohammad Irfan b Ghulam Mudassar,2,2,0,0,100.00,90
Ali Shafique,run out (†Sarfaraz Ahmed),0,0,0,0,-,90
Shane Watson,c sub (Mohammad Ilyas) b Shahid Afridi,61,40,11,0,152.50,90
Ahsan Ali,c sub (Mohammad Ilyas) b Mohammad Irfan,9,8,1,0,112.50,90
Rilee Rossouw,not out,67,45,10,1,148.88,90
Umar Akmal,not out,17,18,1,0,94.44,90
Kamran Akmal †,b Aamer Yamin,0,5,0,0,0.00,91
Imam-ul-Haq,b Usman Shinwari,56,43,5,1,130.23,91
Umar Amin,st †Mohammad Rizwan b Sikandar Raza,15,18,1,0,83.33,91
Wayne Madsen,b Sikandar Raza,0,3,0,0,0.00,91
Kieron Pollard,b Imad Wasim,0,3,0,0,0.00,91
Liam Dawson,c & b Usman Shinwari,43,33,4,1,130.30,91
Daren Sammy (c),not out,24,10,3,1,240.00,91
Wahab Riaz,c Sikandar Raza b Mohammad Amir,0,2,0,0,0.00,91
Hasan Ali,run out (Aamer Yamin),2,3,0,0,66.66,91
Umaid Asif,not out,0,0,0,0,-,91
Liam Livingstone,lbw b Hasan Ali,0,1,0,0,0.00,91
Babar Azam,run out (Hasan Ali),1,4,0,0,25.00,91
Ben Dunk,c †Kamran Akmal b Wahab Riaz,12,15,2,0,80.00,91
Colin Ingram,run out (Imam-ul-Haq),21,14,4,0,150.00,91
Sikandar Raza,b Umaid Asif,14,26,1,0,53.84,91
Imad Wasim (c),c sub (Khalid Usman) b Hasan Ali,26,27,1,0,96.29,91
Mohammad Rizwan †,not out,32,27,2,0,118.51,91
Aamer Yamin,c Dawson b Hasan Ali,0,1,0,0,0.00,91
Mohammad Amir,c Wahab Riaz b Hasan Ali,0,1,0,0,0.00,91
Umer Khan,c Hasan Ali b Pollard,0,1,0,0,0.00,91
Usman Shinwari,not out,1,3,0,0,33.33,91
Umar Siddiq †,c Sohail Akhtar b Shaheen Shah Afridi,53,38,4,2,139.47,92
James Vince,c Fakhar Zaman b Lamichhane,84,41,7,6,204.87,92
Shoaib Malik (c),c Wiese b Lamichhane,10,8,0,1,125.00,92
Andre Russell,c & b Lamichhane,7,6,0,1,116.66,92
Laurie Evans,c & b Haris Rauf,8,13,0,0,61.53,92
Dan Christian,run out (Haris Rauf),21,10,1,2,210.00,92
Hammad Azam,not out,2,2,0,0,100.00,92
