url,result
http://espncricinfo.com//series/psl-2017-18-1128817/karachi-kings-vs-quetta-gladiators-2nd-match-1128819/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/multan-sultans-vs-lahore-qalandars-3rd-match-1128820/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/islamabad-united-vs-peshawar-zalmi-4th-match-1128821/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/quetta-gladiators-vs-lahore-qalandars-5th-match-1128822/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/multan-sultans-vs-islamabad-united-6th-match-1128823/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/karachi-kings-vs-peshawar-zalmi-7th-match-1128824/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/karachi-kings-vs-lahore-qalandars-8th-match-1128825/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/islamabad-united-vs-quetta-gladiators-9th-match-1128826/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/quetta-gladiators-vs-peshawar-zalmi-10th-match-1128827/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/multan-sultans-vs-karachi-kings-11th-match-1128828/full-scorecard,NR
http://espncricinfo.com//series/psl-2017-18-1128817/lahore-qalandars-vs-islamabad-united-12th-match-1128829/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/multan-sultans-vs-quetta-gladiators-13th-match-1128830/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/peshawar-zalmi-vs-lahore-qalandars-14th-match-1128831/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/islamabad-united-vs-karachi-kings-15th-match-1128832/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/peshawar-zalmi-vs-multan-sultans-16th-match-1128833/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/multan-sultans-vs-quetta-gladiators-17th-match-1128834/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/islamabad-united-vs-lahore-qalandars-18th-match-1128835/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/karachi-kings-vs-quetta-gladiators-19th-match-1128836/full-scorecard,
http://espncricinfo.com//series/psl-2017-18-1128817/multan-sultans-vs-lahore-qalandars-20th-match-1128837/full-scorecard,
